NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
ELMANFALOUTI,المنفلوطي,sokoma iziki,صوكوما إيزيكي,0661056089,Marrakech,Marrakech - Tensift - Al Haouz
OTHMANE BNOU AFFANE,عثمان بن عفان,LOUDAYA,الوداية,0661914296,Marrakech,Marrakech - Tensift - Al Haouz
ECHOURAFA,الشرفاء,TASSOULTANTE SIDI MOUSSA,دوار سيدي موسى ج تسلطانت,0661950567,Marrakech,Marrakech - Tensift - Al Haouz
EL MAOURDI,الماوردي,SID ZOUINE,سيد الزوين,0661914386,Marrakech,Marrakech - Tensift - Al Haouz
AL IMAM CHAFII,الإمام الشافعي,AIT IMOUR,أيت إيمور,-  -  -,Marrakech,Marrakech - Tensift - Al Haouz
AHMED CHAOUKI,احمد شوقي,BAB LAKHMISS,باب الخميس,0661914286,Marrakech,Marrakech - Tensift - Al Haouz
ABDELMOUMEN,عبد المومن,BAB LAKHMISS,باب الخميس,0661912352,Marrakech,Marrakech - Tensift - Al Haouz
MOHAMED V -RIAD LAAROUS-,محمد الخامس رياض العروس,RIAD LAAROUS,رياض العروس,0661914287,Marrakech,Marrakech - Tensift - Al Haouz
LYCEE ALLAYMOUN COLLEGIAL,ثانوية الليمون الاعدادية,AVENUE BA HMAD BAB GHMAT,شارع با حماد باب اغمات,061105171,Marrakech,Marrakech - Tensift - Al Haouz
EL FARABI,الفارابي,SIDI BOUDCHICH,سيدي بوالدشيش,0661059847,Marrakech,Marrakech - Tensift - Al Haouz
IBN EL BENNA el morrakochi,ابن البناء المراكشي,ARSET EL MAACH,عرصة المعاش,061-91-43-90,Marrakech,Marrakech - Tensift - Al Haouz
LAAYOUNE,العيون,RUE OQBA BNOU NAFIAA  RUE BANI MARINE,شارع عقبة بن نافع زنقة بني مرين,0661914463,Marrakech,Marrakech - Tensift - Al Haouz
YAAKOUB AL MANSOUR,يعقوب المنصور,AVENUE DES ECOLES  sidi YOUSSEF BEN ALI,شارع المدارس مقاطعة سيدي يوسف بن علي,0661914198,Marrakech,Marrakech - Tensift - Al Haouz
IBN AL AARIF,ابن العريف,MUNICIPALITE SIDI YOUSSEF BEN ALI MARRAKECH,مقاطعة سيدي يوسف بن علي,0661056091,Marrakech,Marrakech - Tensift - Al Haouz
ES SAFA,الصفاء,HAY CHOUHADA MUNICIPALITE SIDI YOUSSEF BEN ALI,حي الشهداء مقاطعة سيدي يوسف بن علي,0661050485,Marrakech,Marrakech - Tensift - Al Haouz
FATIMA AL FIHRYA,فاطمة الفهرية,AVENUE DES ECOLES MUNICIPALITE SI YOUSSEF BEN ALI,شارع المدارس مقاطعة سيدي يوسف بن علي,024-40-25-50,Marrakech,Marrakech - Tensift - Al Haouz
AL IMAM ALI,الإمام علي,AINE ETTI MUNICIPALITE ANNAKHIL MARRAKECH,عين إيطي مقاطعة النخيل,061-05-61-52,Marrakech,Marrakech - Tensift - Al Haouz
ED DAKHLA,الداخلة,CENTRE KATTARA CR M NABHA MARRAKECH,مركز قطارة جماعة المنابهة,0673081664,Marrakech,Marrakech - Tensift - Al Haouz
IBN BATTOTA,ابن بطوطة,COMMUNE RURAL OULAD HASSOUNE,جماعة اولاد حسون,0661059521,Marrakech,Marrakech - Tensift - Al Haouz
LYCEE COLLEGIAL SID L MOKHTAR,الثانوية الإعدادية سيدي المختار,CENTRE SID L MOKHTAR,مركز سيدي المختار,0673086896,Chichaoua,Marrakech - Tensift - Al Haouz
LYCEE COLLEGIAL ALGHAZALI,الثانوية الإعدادية الغزالي,MUNICIPALITE IMINTANOUTE,بلدية إمينتانوت,0673086894,Chichaoua,Marrakech - Tensift - Al Haouz
lycee COLLEGIAL MOULAY RACHID,الثانوية الإعدادية مولاي رشيد,CENTRE AIT OURIR MUNICIPALITE AIT OURIR,مركز ايت اورير بلدية ايت اورير,0661487630,Al Haouz,Marrakech - Tensift - Al Haouz
JAMAL EDDINE  AL AFGHANI,جمال الدين الافغاني,CENTRE GHMAT COMMUNE GHMATE,مركز اغمات جماعة غمات,,Al Haouz,Marrakech - Tensift - Al Haouz
MOULAY HFID,مولاي حفيظ,BD MY HFID COMMUNE MEKNES,شارع مولاي حفيظ مكناس,035-52-23-96,Meknes,Meknès - Tafilalet
ALLAL BEN ABDELLAH,علال بن عبد الله,5 BD ALLAL BEN ABDELLAH COMMUNE MEKNES,5 شارع علال بن عبد الله,035-52-02-26,Meknes,Meknès - Tafilalet
ZEHRAOUI,الزهراوي,AVENUE BIR ANZARANE QUARTIER ABBAS LAMSAADI,شارع بئر انزران حي عباس المسعدي,035-52-29-82,Meknes,Meknès - Tafilalet
FECHTALI,الفشتالي,RUE BRAHIM ROUDANI COMMUNE MEKNES,زنقة أبراهيم الروداني,0535-52-26-23,Meknes,Meknès - Tafilalet
QODS,القدس,BD BEL AIR COMMUNE MEKNES,شارع إبن سينا,,Meknes,Meknès - Tafilalet
IBN TOFAIL,ابن طفيل,hay al manar ain choubik meknes,حي المنار عين الشبيك,0535-52-05-89,Meknes,Meknès - Tafilalet
MANSOUR EDDAHBI,المنصور الذهبي,HACIENDA COMMUNE MEKNES,"لاسيندا ب,م,ع مكناس",0661120442,Meknes,Meknès - Tafilalet
BASSATINE,البساتين, AVENUE SAADYINE BASSATINE COMMUNE MEKNES,شارع السعديين البساتين,0535-50-17-00,Meknes,Meknès - Tafilalet
ZERKTOUNI,الزرقطوني,QUARTIER BASSATINE COMMUNE MEKNES,حي البساتين مكناس,0535-50-30-00,Meknes,Meknès - Tafilalet
IDRISS PREMIER,ادريس الأول,QUARTIER  KHAIBER LOUTAYA COMMUNE MY DRISS ZERHOUN,حي خيبر الوطاية مولاي ادريس,0535544135,Meknes,Meknès - Tafilalet
KHAIBER,خيبر, QUARTIER KHAIBER COMMUNE MY DRISS ZERHOUN,حي خيبر مولاي ادريس,0535544188,Meknes,Meknès - Tafilalet
BAYROUNI,البيروني,HAY ENNASR  OUISLANE,حي النصر ويسلان,0535549009,Meknes,Meknès - Tafilalet
OTMANE BEN AFANE,عثمان بن عفان,LOTISSEMENT AL WAHDA COMMUNE OUISLANE,تجزئة الوحدة ويسلان,0535549860,Meknes,Meknès - Tafilalet
AMCHIOT SALLAM BEN BOUCHTA,أمشيوط سلام بن بوشتى,COMMUNE MRHASSIYINE,المغاصيين,0535-52-14-77,Meknes,Meknès - Tafilalet
AHMED BEN IDRISS MELLOULI,أحمد بن إدريس ملولي,COMMUNE N ZALAT BNI AMAR,مركز نزالة بني عمار 50352,0661120447,Meknes,Meknès - Tafilalet
AHMED BEN CHEKROUN,أحمد بن شقرون,COMMUNE  OUAD JDIDA,وادي الجديدة,0535546956,Meknes,Meknès - Tafilalet
BEN AISSA EL JARROUANI,بن عيسى الجرواني, SIDI SLIMANE MOUL KIFANE HAJ KADDOUR,سيدي سليمان مول الكيفان الحاج قدور,0661124923,Meknes,Meknès - Tafilalet
IMAM ALI,الإمام علي,BOULEVARD IBRAHIM ROUDANI AIN MAAZA,شارع ابراهيم الروداني عين معزة,0535-52-29-64,Meknes,Meknès - Tafilalet
ABOU BAKR ESSEDIK,أبوبكر الصديق,QUARTIER AGDAL COMMUNE MEKNES,حي أكدال,0535-53-06-32,Meknes,Meknès - Tafilalet
AL AZHAR,الأزهر,QURTIER SIDI AMROU  COMMUNE MEKNES,حي سيدي عمر,0535-53-07-69,Meknes,Meknès - Tafilalet
SEHRIJ SOUANI,صهريج السواني,SEHRIJ SOUANI COMMUNE MEKNES,صهريج السواني,0535536014,Meknes,Meknès - Tafilalet
ALLAL AL FASSI,علال الفاسي,BD ABDELKRIM AL KHATABI SBATA  C MMEKNES,شارع عبد الكريم الخطابي اسباتا,0535-53-70-35,Meknes,Meknès - Tafilalet
MOHAMED ABDOU,محمد عبده,LYCEE COLLEGIAL MOHAMED ABDOU TOUARGA CMEKNES,الثانوية الاعدادية  محمد عبده تواركة مكناس,0535-53-67-15,Meknes,Meknès - Tafilalet
JABER IBN HAYANE,جابر بن حيان,QUARTIER ZITOUNE COMMUNE MEKNES,الزيتون مكناس,0535-53-96-45,Meknes,Meknès - Tafilalet
MOHAMED BEN ABDELLAH,محمد بن عبد الله,BAB RHA LAHDIM COMMUNE MEKNES,باب الرحى مكناس,035-53-09-58,Meknes,Meknès - Tafilalet
RIAD,الرياض,BD mohamed 6 hay riad  MEKNES,   شارع محمد السادس  حي الرياض  ,0535-53-83-06,Meknes,Meknès - Tafilalet
IBN OTMANE EL MEKNASSI,ابن عثمان المكناسي,RUE ELMOSTAOUSSEF QUARTIER RIAD ,زنقة المستوصف حي الرياض,0535538399,Meknes,Meknès - Tafilalet
TAHA HOUSSINE,طه حسين,BAB JEDID  COMMUNE MEKNES,باب الجديد مكناس,0535-53-05-86,Meknes,Meknès - Tafilalet
IBN AL MONACIF,ابن المناصف,QUARTIER EZZARHOUNIA  COMMUNE al ISMAILIA  ,جماعة الإسماعلية  حي الزرهونية,0535532929,Meknes,Meknès - Tafilalet
ATTANMIA,التنمية,OUJAH AROSS COMMUNE MEKNES,وجه عروس,0535-53-07-84,Meknes,Meknès - Tafilalet
college ibn hamdoune kertili,ثانوية ابن حمدون الكرتيلي الإعدادية,TOULAL COMMUNE TOULAL,تولال,0661124910,Meknes,Meknès - Tafilalet
AL IMAM MALIK,الإمام مالك,SIDI BABA  ,حي سيدي بابا,0535530928,Meknes,Meknès - Tafilalet
IBN KHALDOUN,ابن خلدون,AVENUE IBN KHALDOUN EL HAJEB,شارع ابن خلدون الحاجب,0535-54-30-34,El Hajeb,Meknès - Tafilalet
MOULAY ALI CHERIF,مولاي علي الشريف,SBAA AIYOUN CENTRE,سبع عيون المركز,0661124948,El Hajeb,Meknès - Tafilalet
IBN BATTOUTA,ابن بطوطة,HAY JRADI ain TAOUJdATE,حي جرادي عين  تاوجدات,0535-44-00-27,El Hajeb,Meknès - Tafilalet
ABDELKRIM EL KHATABI,عبد الكريم الخطابي,AIT YAAZEM,ايت يعزم,035-52-14-51,El Hajeb,Meknès - Tafilalet
OMAR BNOU LKHATTAB,عمر ابن الخطاب,ait ouallal BITIT,ايت ولال بطيط,0661124945,El Hajeb,Meknès - Tafilalet
IBN AJROUM,ابن اجروم,sabt JAHJOUH elhajeb,سبت جحجوح الحاجب,035-52-14-02,El Hajeb,Meknès - Tafilalet
YACOUB EL MANSOUR,يعقوب المنصور,AGOURAI CENTRE,اكوراي المركز,0535-43-00-27,El Hajeb,Meknès - Tafilalet
C IBNOU BAJJA,إع. ابن باجة,RUE MOULAY ISMAIL ,شارع مولاي اسماعيل,0618535174,Oujda Angad,l'Oriental
C IBNOU ROCHD,إع. ابن رشد,DHAR MHALA,ظهر لمحلة,0618535176,Oujda Angad,l'Oriental
C ABDERRAHMANE BNOU AOUF,إع. عبد الرحمان بن عوف,BD ABELKHALEK TORES,شارع عبد الخالق الطريس,0618535172,Oujda Angad,l'Oriental
C ABI YOUSSEF EL KINDI,إع. أبي يوسف  الكندي,RUE FATIMA FIHRYA N1,شارع فاطمة الفهرية الرقم 1,0618535175,Oujda Angad,l'Oriental
C ERRIAD,إع. الرياض,BD KDDOUR OUARTASSI,قدور الورطاسي,0618535160,Oujda Angad,l'Oriental
C ALLAL EL FASSI,إع. علال الفاسي,RUE TAYRET,طريق طايرت وجدة,0618535161,Oujda Angad,l'Oriental
C SIDI YAHYA,إع. سيدي يحيى,BD HAMZA BEN ABDELMOUTALEB,شارع حمزة بن عبد المطلب,0618535162,Oujda Angad,l'Oriental
C EL MASSIRA EL KHADRA,إع. المسيرة الخضراء,BD HIJAZ,شارع الحجاز,0618535164,Oujda Angad,l'Oriental
C EL OUAHDA,إع. الوحدة,BD BIR INZAREN,شارع بئر انزران,0618535165,Oujda Angad,l'Oriental
C ABI INANE EL MARINI,إع. أبي عنان المريني,LOT ANGAD RUE C2 OUJDA,تجزئة أنجاد طريق س /2,0618535170,Oujda Angad,l'Oriental
C EL JAHID,إع. الجاحظ,BD MOHAMED DERFOUFI,شارع محمد الدرفوفي,0618535155,Oujda Angad,l'Oriental
C EL BEKRI,إع. البكري,BD LIGUE ARABE,شارع الجامعة العربية,0618535156,Oujda Angad,l'Oriental
C PASTEUR,إع. باستور,RUE ABDELAZIZ BOUTALEB,شارع عبدالعزيز بوطالب,0618535157,Oujda Angad,l'Oriental
C OKBA BNOU NAFII,إع. عقبة بن نافع,HAY EL HASSANI  COULOUCH,حي الحسني كولوش,0618535158,Oujda Angad,l'Oriental
C MOHAMMED EDDERFOUFI,إع. محمد الدرفوفي,BL PRINCE MOULAY ELHASANE,شارع الامير مولاي الحسن,0618535168,Oujda Angad,l'Oriental
C IBN EL QADI,إع. ابن القاضي,BD  ZAID BNOU SOLTANE AL NIHYAN,شارع زايد بن سلطان آل نهيان,0618535166,Oujda Angad,l'Oriental
C ABDELKHALEK ETTORRES,إع. عبد الخالق الطريس,HY SI LKHDAR   RUE 18 OUJDA,حي سي لخضر زنقة 18 وجدة,0618535167,Oujda Angad,l'Oriental
C EL QODS,إع. القدس,RUE ESSAKHRA HY ELKOUDS,زنقة الصخرة حي القدس,0618535169,Oujda Angad,l'Oriental
C ABI DAR EL GHIFARI,إع. أبي در الغفاري,LOT BADR,تجزئة بدر,0618535180,Oujda Angad,l'Oriental
C OTMAN JORIO ,إع. عثمان جوريو ,NAIMA CENTRE,النعيمة,0618535181,Oujda Angad,l'Oriental
C SIDI MAAFA,إع. سيدي معافة,RUE AL HOURRIA,شارع الحرية ,0618535163,Oujda Angad,l'Oriental
IBN ROCHD,ابن رشد,COLLEGE IBN ROCHD BERKANE,ص ب 224  بركان,0536612130,Berkane,l'Oriental
ALFIHRIA,الفهرية,29 RUE AZROU HAY EL HASSANI,29 زنقة أزرو حي االحسني,0536616816,Berkane,l'Oriental
TRIFA,تريفة," HAY EL MASSIRA  B,P, 162",شارع المسيرة الخضراء  ص ب : 162,0536613228,Berkane,l'Oriental
SIDI MOHAMED BEN ABDERRAHMANE,سيدي محمد بن عبد الرحمن,ROUTE DE CASABLANCA,شاارع الدار البيضاء,0536628177,Berkane,l'Oriental
ANAS BNOU MALIK,أنس بن مالك,MUNICIPALITE   DE SAIDIA,بلدية السعيدية,0536624210,Berkane,l'Oriental
AL KHAWARIZMI,الخوارزمي,MUNICIPALITE DE AIN REGGADA,بلدية عين الركادة,036620326,Berkane,l'Oriental
college ALLAL BENABDELLAH,علال بن عبد الله الاعدادية,TAOURIRT route oujda,تاوريرت طريق وجدة,0678991367,Taourirt,l'Oriental
AL MAGHREB AL ARABI,المغرب العربي,RUE DU MAGHREB ARABE,طريق المغرب العربي,0678991374,Taourirt,l'Oriental
BADR,بدر,ROUTE DE DEBDOU,طريق دبدو,0678991368,Taourirt,l'Oriental
OUED ZA,واد زا,BOULEVARD ALLAL BEN ABDELLAH,شارع علال بن عبد الله,0678991371,Taourirt,l'Oriental
IDRISS 1ER,إدريس الأول,BOULEVARD MOHAMMED V,شارع محمد الخامس,0678991382,Taourirt,l'Oriental
SIDI MAKHOUKH,سيدي مخوخ,hay  nakhla,حي  النخلة,0678991385,Taourirt,l'Oriental
EZZARKTOUNI,الزرقطوني,rue 38 hay mohammadi,زنقة 38 الحي المحمدي,0678991386,Taourirt,l'Oriental
OTHMANE BNOU AFFANE,عثمان بن عفان,TZAIASTE CENTRE  COMMUNE DE BOUGHRIBA,اتزايست المركز. جماعة بوغريبة,0642140492,Berkane,l'Oriental
3 MARS,3 مارس,COLLEGE 3 MARS COMMUINE DE MADAGH,مداغ المركز,0536645112,Berkane,l'Oriental
SIDI BOUHRIA,سيدي بوهرية,COLLEGE SIDI BOUHRIA COMMUNE DE SIDI BOUHRIA,جماعة سيدي بوهرية,036637202,Berkane,l'Oriental
TAFOUGHALT,تافوغالت,COLLEGE TAFOURALT COMMUNE DE TAFOUGHALT,ثانوية تافوغالت  جماعة تافوغالت,0536-63-70-72,Berkane,l'Oriental
Collège SIDI MOHAMED BEN ABDELLAH,إعدادية سيدي محمد بن عبدالله,Hay Sidi Mohamed ben Abdellah,حي سيدي محمد بن عبد الله ,036-82-11-70,Jerada,l'Oriental
Collège IMAM AL BOUKHARI,إعدادية الإمام البخاري,HAY ELMASSIRA HASSI BLAL JRADA,حي المسيره,036-82-06-00,Jerada,l'Oriental
Collège omar ben jelloun,ثانوية عمر بن جلون الاعدادية,AIN BNI MATHAR ,عين بني مطهر المركز,0536659931,Jerada,l'Oriental
Collège OMAR IBN KHATAB,إعدادية عمر بن الخطاب,quartier economique,الحي الاقتصادي,036-65-45-82,Jerada,l'Oriental
Collège GUENFOUDA,إعدادية قنفودة ,guenfouda,قنفودة,036711534,Jerada,l'Oriental
lycée Collègial OUED EL HIMER,ثانوية  وادي الحيمر الإعدادية,oued elhimer  commune tiouli ,مركز واد الحيمر ــ جماعة تيولي ــ,0536654581,Jerada,l'Oriental
C. OUED  EL MAKHAZINE,اعدادية وادي المخـازن,QUARTIER  MOULAY RACHID   MUNICIPALITE D AGADIR,حـي مـولاي رشيـد الخيام أكاديـر,0661913099,Agadir Ida Outanane,Sous-Massa-Draa
C SOUSS  AL ALIMA,اعدادية سوس العالمة,AVENUE  GENERAL KETTANI   MUNICIPALITE D AGADIR,شارع الجنرال الكتاني,0661472041,Agadir Ida Outanane,Sous-Massa-Draa
C MOHAMMED VI,اعدادية محمد السادس,AVENUE  MOULAY YOUSSEF   MUNICIPALITE D AGADIR,حي مولاي يوسف  بلدية اكادير,0661913117,Agadir Ida Outanane,Sous-Massa-Draa
C AL MOUTANABI,اعدادية المتنبي,QUARTIER  ANOUAR SOUSS    MUNICIPALITE D AGADIR,حي انوار سوس  بلدية اكادير,0661540398,Agadir Ida Outanane,Sous-Massa-Draa
C 20 AOUT,اعدادية 20 غشت,QUARTIER BOUARGANE   MUNICIPALITE D AGADIR,حي بوركان  بلدية اكادير,0661554826,Agadir Ida Outanane,Sous-Massa-Draa
C AL FIDIA,اعدادية الفضية,QUARTIER DAKHLA       MUNICIPALITE D AGADIR,حي الداخلة  بلدية اكادير,0661547327,Agadir Ida Outanane,Sous-Massa-Draa
C MOHAMED CHEIKH SAADI,اعدادية محمد الشيخ السعدي,QUARTIER INDUSTRIEL     MUNICIPALITE D AGADIR,حي الصناعي   بلدية اكادير,0661581047,Agadir Ida Outanane,Sous-Massa-Draa
C IBN  AL HAYTHAM,اعدادية ابن الهيثم,QUARTIER DAKHLA        MUNICIPALITE  AGADIR,حي الداخلة بلدية أكادير,0661472153,Agadir Ida Outanane,Sous-Massa-Draa
C. ABDELALI  BEN CHEKROUN,اعدادية عبد العالي بنشقرون,QUARTIER  AL WIFAQ     MUNICIPALITE D AGADIR,حي الوفاق بلدية اكادير,0661343917,Agadir Ida Outanane,Sous-Massa-Draa
C IBN TOFAIL,اعدادية ابن طفيل,DOUAR  AMZIL       MUNICIPALITE D AGADIR,دوار أمزيل,0661997200,Agadir Ida Outanane,Sous-Massa-Draa
C IBN KHALDOUN,اعدادية ابن خلدون,QUARTIER  AL MOHIT    MUNICIPALITE D AGADIR,حي المحيط  بلدية اكادير,0661580247,Agadir Ida Outanane,Sous-Massa-Draa
C IDRISS  LAHRIZI,اعدادية ادريس الحريزي,DOUAR  LAAREB      MUNICIPALITE D AGADIR,دوار العرب  بلدية اكادير,0661547667,Agadir Ida Outanane,Sous-Massa-Draa
C LAGOUIRA,اعدادية الكويرة,DOUAR  LAGOUIRA          COMMUNE  DRARGA,دوار الكويرة  جماعة الدراركة,,Agadir Ida Outanane,Sous-Massa-Draa
C ZOUBIR BNOU AL AOUAM,اعدادية الزبير ابن العوام,DOUAR  ISK              COMMUNE  TIQQI,دوار اسك تيقي,0661554886,Agadir Ida Outanane,Sous-Massa-Draa
C AZZAITOUNE,اعدادية الزيتون,DOUAR  Bouarguane              COMMUNE  TAMRI,دوار بوركان  جماعة تامري,0528269011,Agadir Ida Outanane,Sous-Massa-Draa
ALLAL EL FASSI,علال الفاسي,rue aallal elfassi DCHEIRA elJIHADIA,شارع علال الفاسي الدشيرة الجهادية,0661901552,Inzegane Ait Melloul,Sous-Massa-Draa
AHMED EL MANSOUR DAHBI,احمد المنصور الذهبي,RUE ECOLES INEZGANE,شارع المدارس انزكان,028-83-21-79,Inzegane Ait Melloul,Sous-Massa-Draa
