NOM_ETABL,NbreAnnexe,Adresse,Ville,TEL_ETAB,FAX_ETAB,email,Région,Province,Commune
Molière,0,30/32 Rue 12 Metre La villette Hay Mohammadi,Casablanca,022-61-91-05,022-61-53-30,Institut_molière@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Balabil Essalam,0,N° 150 Boulevard Grande Ceinture Hay Mohammadi,Casablanca,022-60-13-63,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Ettakadoum,0,"Rue 9, N° 8 Berb Amal Hay Mohammadi",Casablanca,022-62-14-37,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
 Essalam,,N° 265 Boulevard Grande Ceinture Hay Mohammadi,Casablanca,022-60-11-60,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
El Afifi,0,N° 173 Avennue Oukba Bnou Nafii Hay Mohammadi,Casablanca,022-60-15-06,___-__-__-__,lyceeafifi95@hotmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Hay Mohammadi (AR)
Les Canaris,0,N° 29 Rue Zoubire Ben Aouam  Roches Noires,Casablanca,022409309,022408831,lescanaris@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Le Nid,0,N° 377 Boulevard Ibn Tachefine Roches Noires,Casablanca,022-61-94-11,022-61-94-12,lenidecole@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Chems,0,N° 6 Rue Neufchatel Belvedere Roches Noires,Casablanca,022-24-55-18,___-__-__-__,institutionchems@mail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Eddoha1,,N° 7 Rue Baboume Roches Noires,Casablanca,022-30-30-91,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Ali BEN BARRI PRIVE,0,N° 69 JUlES CeSar  Roches Noires,Casablanca,022-40-06-58,___-__-__-__,ALI_BEN_BARRI@HOTMAIL.FR,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
La Maison Joyeuse,0,Hay Arssalane Rue 5 N° 20 Roches Noires,Casablanca,022-61-89-84,___-__-__-__,lajoyeusemaison@gmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
My.Abdesslam Ben Mchich,0,1 Angle rue compiègne Place sidi Mohamed Belvèdère,Casablanca,022-24-37-88,___-__-__-__,s.benslama@netcourrier.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Ecole Al Wifaq ,0,N° 88 Rue Saint Seans Belvédère ,Casablanca,022-24-98-68,___-__-__-__,ecolealwifaq@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
 Doha2,,Hay Oulad Ziyane Avennue Oulad Ziyane Roches Noires,Casablanca,022-60-30-84,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
 Badr,,N° 42 Rue Ahrame Belvedère Roches Noires,Casablanca,022-40-76-00,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Assoukhour Assawda (AR)
Notre Dame,0,N° 23 allée jeanne D ARC Ain Sebaa,Casablanca,022-34-18-32,,ND.AINSEBAA@ECAM-MAROC.org,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ouhoud 1,,N° 72 Allée des Jardins  Ain Sebaa,Casablanca,022-35-33-29,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ezzohour,0,N° 16 La Jiri Ain Sebaa,Casablanca,022-35-24-28,___-__-__-__,ezzohour@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Le Lion Blanc,,Place Haj Ahmed Makwar Ain Sebaa,Casablanca,022-35-23-82,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Errabia,0,N° 68 Boulevard Mimouza Ain Sebaa,Casablanca,022-35-22-86,___-__-__-__,ecoleerrabia@yahoo.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ittihad Ain Sebaa,0,N° 82 Allée Prichyardiass  Ain Sebaa,Casablanca,022-35-64-55,___-__-__-__,ITTIHAD.AIN.SBAA@GMAIL.COM,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Oum Aymen,0,"N° 99, Dalila I Quartier Industriel Ain Sebaa",Casablanca,022-35-30-11,___-__-__-__,adil.gmd@hotmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Walt  Disney,0,"N° 34, Allée Sophoras  Ain Sebaa",Casablanca,022-35-29-81,022-44-06-89,waltdisney82@gmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Cadi Ayad,0,"N° 22, Boulevard Grande Ceinture Hay Mohammadi",Casablanca,022-35-37-50,022-35-37-32,cHAF6220@HOTMAIL.COM,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
El Hansali,0,Hay Smara Rue 7 N° 30  Hay Mohammadi,Casablanca,022-60-44-02,___-__-__-__,GSHANSALI@gmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
AL AFAQ,0,Hay Chabab Zone A Bloc 10 Ain Sebaa,Casablanca,022-75-58-07,022-75-58-06,alafaq.scool@gmail.com ,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Ennakhil,0,"N° 76, Rue Abdelamid Ben Badis  Ain Sebaa",Casablanca,022-34-37-57,022-66-30-79,infos@institutscolairelespalmiers.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Omar Al Imam,0,"N° 247, Rue Abdelhamid Ben Badis bd.chefchaouni Ain Sebaa",Casablanca,022-66-39-62,___-__-__-__,omarelimam@hotmail.com,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Al Iirfane,,"N° 42, Allée Des Phoenix  Ain Sebaa",Casablanca,,,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Al Ghazi Al Idrissi,0,Lotissement Houda N° 3 Rue 6 Sidi Moumen,Casablanca,022-71-91-71,___-__-__-__,hassan0812@hotmail.com,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Groupe Scolaire Al Manar,0,Hay Rahmani Rue 17 N° 71  Sidi Moumen,Casablanca,0522728484,___-__-__-__,g-s-manar@live.fr,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
Groupe Scolaire La Confiance,0,Lotissement Warda Rue 29 N° 29  Sidi Moumen,Casablanca,022-35-29-44,022352946,E.MAIL : LA CONFIANCE @CARAMAIL .COM ,Grand Casablanca,Sidi Bernoussi,Sidi Moumen (AR)
 Al Ahrar,,"N° 17, Boulevard Des Orangers  Ain Sebaa",Casablanca,022-35-09-47,___-__-__-__,,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Iqraa,0,"N° 35, Boulevard de la plage  Ain Sebaa",Casablanca,022-35-17-36,022341397,ecole-iqraa@yahoo.fr,Grand Casablanca,Ain Sebaa_Hay Mohammadi,Ain Sebaa (AR)
Donald's School Ifrane,,"Villa Sounia, Rue Narjis Hay Riad ",Ifrane,055-56-77-08,___-__-__-__,,Meknès - Tafilalet,Ifrane,Ifrane (M)
Itrane,,N° 90 Lotissement Ain Aghbal Ahdaf,Azrou,___-__-__-__,___-__-__-__,,Meknès - Tafilalet,Ifrane,Azrou (M)
CHAIMAE,1,21-23 Route de Meknès Ahadaf,Azrou,035-56-07-90,035560790,faouzia-Az@hotmail.com,Meknès - Tafilalet,Ifrane,Azrou (M)
El Manabie,0,"Rue 5, N° 20 Hay Taj Ahadaf",AZROU,035563625,___-__-__-__,,Meknès - Tafilalet,Ifrane,Azrou (M)
Errazi,,"Hay Ahdaf, Rue d'Alger",Azrou,___-__-__-__,___-__-__-__,,Meknès - Tafilalet,Ifrane,Azrou (M)
Donald's School Azrou ,,"N° 386, Rue 2 Hay Taj Avennue Hassan II",Azrou,055-56-26-93,___-__-__-__,,Meknès - Tafilalet,Ifrane,Azrou (M)
Amor,0,N° 38 Rue 34  Lotissement Oued Fès,FES,035752549,___-__-__-__,BSSAT.TOURIA@AMMOR.COM,Fès - Boulmane,Fès,El Mariniyine (AR)
El MAARIFA,0,"N° 60, Rue 204 Ain Kaddous",FES,035-70-03-94,___-__-__-__,Elmaarifasajid@yahoo.fr,Fès - Boulmane,Fès,El Mariniyine (AR)
Zoubida,,LOT ENNOUZHA Km 2 Route Ain Chkef,FES,035608221,___-__-__-__,,Fès - Boulmane,Fès,Zouagha (AR)
oissin,0,Lot N° 317 Lotissement Lalla Soukaina Rue 9 N° 26 ,FES,035-60-07-92,___-__-__-__,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Zouagha (AR)
El Ahd Al JAdid,0,Rue 3 N° 16 Hay Rachidia Zouagha,FES,0535600210,___-__-__-__,gaadidriss@yahoo.fr,Fès - Boulmane,Fès,Zouagha (AR)
Errachad,0,NOUVEAU SECTEUR AIN KADOUSS PRES MOSQUEE TAJMOUATI,FES,0535753897,___-__-__-__,errachad-éta-98@hotmail.com,Fès - Boulmane,Fès,El Mariniyine (AR)
Sqalli,1,N° 360 Lotissement Oued Fès,FES,0535703428,0535703428,fes.etab@yahoo.fr,Fès - Boulmane,Fès,El Mariniyine (AR)
Azzahrae,0,N° 400 Hay Lalla Soukania,FES,035612451,___-__-__-__,fes.etab@yahoo.fr,Fès - Boulmane,Fès,Zouagha (AR)
Bayt Al Hikma,0,N° 14 Hay Nouzha Route Ain Chkef,FES,035-60-65-14,___-__-__-__,hassanibntabit65@gmail.com,Fès - Boulmane,Fès,Zouagha (AR)
Institution Al Amana I,,Rue Ibn Zoubair N° 43 Hamrya,Meknès,035-52-64-68,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Belle Vue 1,0,Rue 2 N° 8Abbass Lamsaadi Bir Inzarane Hamrya,Meknès,0535514453,0535402479,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
LES  BOURGEONS,,N° 5 Rue Costantine V.N. Hamrya,Meknès,035-40-01-86,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Rihab Oum Al Kora,0,N° 23 Boulevard Ibn Sina V.N,Meknès,035-52-11-95,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Hanane,0,BD MY ISMAIL,Meknès,,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Wafae,0,N° 2 Rue DeSCArtES Hamrya,Meknès,0535526209,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Allam Attofola,0,N° 116 Lotissement Oum Rabie B.M.O. Hamrya,Meknès,0612076872,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Iklass ,0,N° 39 AVENUE DES FAR,Meknès,0535503025,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
L Arc En Ciel,0,N° 1 Rue Mehdi Ben Toumert Cité Ennacr Hamrya,Meknès,0535524374,___-__-__-__,arcenciel95@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Talaia Al Ghad,0,Idrissia I N° 5 LHaceinda Hamrya,Meknès,0535403207,0535403207,elmaaroufi3@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Aouladouna I,,N° 6 Rue 12 Cité Ennacr B.M.O. Hamrya,Meknès,055-51-64-64,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Notre Dame,0,9 esplanade du dr .abdelkarim al khatteb  ,Meknès,0535520137,0535402911,ND.MEKNES@YAHOO.FR,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Laraichi Alpha,0,"Rue Bandoeingue N° 1, V.N. Imm. Bretagne Hamrya",Meknès,0535524006,,institutionlaaichi@iamnet.ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
L Heure Joyeuse,0,Rue  N°8 -HAY ABBAS  LAMSAADI,MEKNES,035520465,,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Ennakhela,0,El Bassatine N° 8 Bouguraa Hamrya,Meknès,055-50-18-57,___-__-__-__,nakhlat@hotmail.com,Meknès - Tafilalet,Meknes,Al Ismailia (M)
AWLADOUNA 2,0," Quartier des Anciens Combattants, rue AbdELOUAHeD iRAKI Meknes",Meknès,0535522257,0535516464,AOULADOUNA-coll-ge@hotmail.com,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Majid 2,0,"k 9, 11 Rue Mostafa Lmaani A.N. B.M.O. Hamrya",Meknès,035-52-71-71,035-52-71-71,GroupeScolaireMAJED@gmail.com,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Ikhlass I,,N° 39 Cité El Menzah Riute de Fès Hamrya,Meknès,055-50-30-25,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Chems,,N° 41 Lotissement Baladia L'Haceinda Hamrya  ,Meknès,055-52-89-30,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Les Oliviers,,N° 3 Boulevard Mohamed V Hamrya,Meknès,055-51-23-83,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Ikrae 1,0, Lotissement Ennahda  N 1 Rue 1  Hamrya,Meknès,035-51-40-39,___-__-__-__,iqrae@gmail.com,Meknès - Tafilalet,Meknes,Al Ismailia (M)
UNIVERS DES ENFANTS,0,N° 3 Rue Sultane My Rachid Hamrya,Meknès,035-52-33-34,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
SOURCE,0,N° 2 Rue Dakar Hamrya,Meknès,035516968,035516968,ecolasource@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Khalid Ibn Al Walid,0,N° 11 Avenue Khalid Ibn El Walid B.M.O. Hamrya,Meknès,035-40-10-56,___-__-__-__,ouafae-alaoui@hotmail.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Jail Assaid,0,N° 17 Avenue Yougoslavie  Hamrya,Meknès,0535524987,0535524987,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution La Fontaine,0,N° 4 Avenue Ahmed Chawki  ismailia 2 V.N ,Meknès,0535512477,,fontaine.bleu@yahoo.fr,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Cham,,N° 70 Rue 7 Fassiat Mabrouka L'Hacienda Hamrya,Meknès,055-52-66-81,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Maarif,0,"885-886 LOTISSEMENT SORIA, km 6, route el haj kadour ",Meknès,0619526270,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Donalds School,0,N° 132 Avenue des F.A.R. Hamrya,Meknès,0535514164,0535514163,DONALDSCHOOL@ESSIC.MA,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution  abouabAl Mostakbal,0,N° 17 Rue 5 Secteur 3 A El Bassatine Hamrya,Meknès,0535500822,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Belle Vue II,0,N° 419 Rue Abbas El Mesaadi  Hamrya,Meknès,0535400304,0535402479,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Laraichi Al Firdaouss,,Cité Bahjat Al Hayat  Hamrya,Meknès,035-50-27-56,035-51-71-20,institution laraichi@ iam-net. Ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Aouladouna 3,0,N° 42 Ras Ighil Belle Vue Hamrya,Meknès,055-52-37-62,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
emile 2,0,"N° 81, Avenue Ben Ghazi B.M.O. Hamrya",Meknès,0660106446,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
AL MANBAT,0,N° 3 Rue nehru Hamrya,Meknès,0535524006,0535517120,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Pyramid High School,,"N° 132, Boulevard des F.A.R.  Hamrya",Meknès,035-51-41-64,___-__-__-__,pyramidhayschool@essic.ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Belle Vue 3,0,Hay Abasse M Ssaadi N° 28 Rue 1 Hamrya,Meknès,055-40-03-04,0535402479,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Institution Al Amana 2,,N° 4 Rue 4 El Ismailia 1 Hamrya,Meknès,035-52-22-86,03525740,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
averoes,0,N° 9/10 rue melilia,Meknès,0535522738,,institution laraichi@iam.net.ma,Meknès - Tafilalet,Meknes,Al Ismailia (M)
full moon,0,Rue 2 N° 25 Ismailia 1 Hamrya,Meknès,0535525662,,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Khawarizmy,0,Boulevard Allal Ben Abdellah N° 23 Hamrya,Meknès,055-52-42-70,___-__-__-__,,Meknès - Tafilalet,Meknes,Al Ismailia (M)
Groupe Scolaire Al Maarif,1,44 Lotissement Marzouka Route de Kenitra Salé Bab Lamrissa,Salé,037-84-52-26,037-84-59-49,gsam@menara.ma,Rabat - Salé - Zemmour - Zaer,Salé,Bab Lamrissa (AR)
Cherkaoui,0,"44,Lotissement Cherkaoui Bab Seta Lamrissa",Salé,037-78-07-36,037-78-01-92,,Rabat - Salé - Zemmour - Zaer,Salé,Bab Lamrissa (AR)
Annexe Al Ikhlass,,Rue Talaa N° 14 Salé Bab Lamrissa,Salé,037-88-33-40,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bab Lamrissa (AR)
Al Yakada Centre,2,N° 10 Cité  Lotissement Roni Tabriquet,Salé,037-86-17-10,037-85-05-80,info@elyakada.com,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Al Yakada Annexe,,Boulevard Mohamed V - Tabriquet,Salé,037-86-16-14,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Al Aksa Centre,2,N° 266 Rue Sidi Abdellah Hay Inbiat - Tabriquet,Salé,037-80-48-15,037-80-97-03,ennaji.ahmed@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Ard Essalam,0,Lotissement Karima Boulevard Mohamed V - Tabriquet,Salé,037-86-00-00,037-86-27-81,ardessalam@yahoo.fr,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Mohamed Ben Abdellah,0,Lotissement Bendahman Boulevard Mohamedd V - Tabriquet,Salé,037-86-33-85,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Dar Al Hikma,0,"N° 73, Lotissement Omar 2 - Tabriquet",Salé,037-86-14-35,___-__-__-__,darelhikma@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Imam Ghazali,0,"Lotissement Kenza Slaoui, Route de Meknès - Tabriquet",Salé,037-86-30-30,___-__-__-__,ghazali_sala@live.fr,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Bab Sebta,0,N° 56 Boulevard Mohamed V - Tabriquet,Salé,037-78-61-59,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Attajdid,0,N° 124 Boulevard Lalla Asmaa - Tabriquet,Salé,037-86-06-07,037-86-06-07,eattajdid@yhoo.fr,Rabat - Salé - Zemmour - Zaer,Salé,Tabriquet (AR)
Al Amana,4,Secteur 6 Hay Salam B.P. 1594 - Bettana,Salé,037-80-99-92,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Wafae,0,Lotissement Riad - Bettana N° 63/64/65/66,Salé,037-80-09-53,037 80 32 66,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
LA NOUVELLE GENERATION,2,Avenue Al Massira N° 95 - Bettana,Salé,037-88-37-43,037-88-57-67,gsngbettana@hotmail.fr,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Azhar,,Secteur 3 N° 783 Hay Salam - Bettana,Salé,037-80-79-64,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Annasr,,Secteur 3 Boulevard Abdelkarim Khattabi N° 5 Hay Salam,Salé,037-80-89-59,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Kadissia,,Villa Saada Secteur 1 Hay Salam - Bettana,Salé,037-80-86-91,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Khiyam,,HAY ESSALAM Rue Mokhtar Soussi Secteur 7 N 1270 ,Salé,037-80-63-29,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
Al Ikhlas,,N° 1002 Rue de Marrakech Hay Salam - Bettana,Salé,037-81-44-09,___-__-__-__,,Rabat - Salé - Zemmour - Zaer,Salé,Bettana (AR)
