NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
L ABOULABBAS  SEBTI,ثانوية ابو العباس السبتي,QUARTIER  AL WIFAQ   MUNICIPALITE D AGADIR,حي الوفاق  بلدية اكادير,0661982517,Agadir Ida Outanane,Sous-Massa-Draa
L ANOUAL,ثانوية انوال,BD  ABDERRAHIM BOUABID   MUNICIPALITE D AGADIR,شارع عبد الرحيم بوعبيد بلدية اكادير,0661913122,Agadir Ida Outanane,Sous-Massa-Draa
L SIDI EL HAJ SAID,ثانوية سيدي الحاج سعيد,DRARGA CENTRE        COMMUNE  DRARGA,مركز الدراركة  جماعة الدراركة,0661913129,Agadir Ida Outanane,Sous-Massa-Draa
l AOURIR,ثانوية أورير,AOURIR CENTRE        COMMUNE DAOURIR,أورير المركز  جماعة أورير,0661913123,Agadir Ida Outanane,Sous-Massa-Draa
L AL AMAL,ثانوية الأمل,TIKIOUINE,تكوين,0661-60-12-81,Agadir Ida Outanane,Sous-Massa-Draa
L Ajdir,ثانوية أجدير,Quartier Al Houda,حي الهدى,0660123652,Agadir Ida Outanane,Sous-Massa-Draa
L Al Majd,ثانوية المجد,Quartier Hay Mohamadi,الحي المحمدي,0660123658,Agadir Ida Outanane,Sous-Massa-Draa
NOYAU LYCEE SED MY YOUSSEF,نواة ثانوية سد مولاي يوسف,AIT ADEL,أيت عادل,,Al Haouz,Marrakech - Tensift - Al Haouz
 LYCEE qualifiant TAMESLOUHT,الثانوية التأهيلية تمصلوحت,Centre TAMESLOUHT,تمصلوحت,0654829960,Al Haouz,Marrakech - Tensift - Al Haouz
LYCEE QUALIFIANT GHMATE,الثانوية التأهيلية غمات,GHMATE,غمـــــــــات,,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant  ASNI,الثانوية التأهيلية أسنــي,ASNI,أسنــي,0661903361,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifian NOUVEAU LYCEE,الثانوية التأهيلية الثانوية الجديدة,CENTRE AIT OURIR,مركز ايت اورير,0661488169,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant TOUAMA,الثانوية التأهيلية التوامة,CENTRE TOUAMA,مركز التوامة,0661236780,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant IBNOU MAJA,الثانوية التأهيلية ابن ماجة,CENTRE AMIZMIZ,مركز امزميز,0661237740,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiantTOUBKAL,الثانوية التأهيلية توبقال,CENTRE TAHANNAOUT COMMUNE TAHANNAOUTE,مركز تحناوت جماعة تحناوت,0661903927,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant ABATIH,الثانوية التأهيلية ابطيح,CENTRE AIT OURIR MUNICIPALITE AIT OURIR,مركز ايت اورير بلدية ايت اورير,,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant AL FARAHIDI,الثانوية التأهيلية الفراهيدي,CENTRE AMIZMIZ COMMUNE AMIZMIZ,مركز امزميز,0524454082,Al Haouz,Marrakech - Tensift - Al Haouz
lycee qualifiant BIR ANZARANE,الثانوية التأهيلية بئر انزران,CENTRE TAHANNAOUTE COMMUNE TAHANNAOUTE,مركز تحناوت جماعة تحناوت,0524-48-40-95,Al Haouz,Marrakech - Tensift - Al Haouz
MOULAY ALI CHRIF LYCEE,مولاي علي الشريف,HAY MARMOUCHA AL HOCEIMA,حي مرموشة الحسيمة,0539-98-26-92,Al Houceima,Taza  - Al Hoceima - Taounate
IMZOUREN LYCEE,امزورن,RUE AFGHANISTANE IMZOUREN,زنقة افغانستان  امزورن,0539-80-60-22,Al Houceima,Taza  - Al Hoceima - Taounate
MOULAY SMAIL LYCEE,مولاي اسماعيل,HAY ALMATAR ALKADIM IMZOUREN,حي  المطار القديم  امزورن,0539-80-73-56,Al Houceima,Taza  - Al Hoceima - Taounate
(LYCEE) TARGUIST QUALIFIANT,ثانوية ترجيست التأهيلية,BD WALI AL AAHD BP:156 TARGUIST,شارع ولي العهد  ترجيست,0539-80-81-53,Al Houceima,Taza  - Al Hoceima - Taounate
AL BADISSI (LYCEE),الباديسي,AVENUE ANOUAL AL HOCEIMA,شارع انوال  الحسيمة,0539-98-22-47,Al Houceima,Taza  - Al Hoceima - Taounate
IMAM MALIK LYCEE,الإمام مالك,AVENUE TAREK BNOU ZIYAD AL HOCEIMA,شارع طارق بن زياد الحسيمة,0539-98-26-95,Al Houceima,Taza  - Al Hoceima - Taounate
AL KHAWARIZMI LYCEE,الخوارزمي,2EME QARTIER BNI BOUAYACH,الحي الثاني بني بوعياش,0539-80-48-06,Al Houceima,Taza  - Al Hoceima - Taounate
IBNOU ROCHD LYCEE,ابن رشد,AL HAY ALJADID BNI BOUAYACH,الحي الجديد بني بوعياش,0539804914,Al Houceima,Taza  - Al Hoceima - Taounate
CHARIF MOHAMMED AMEZIANE(LYCEE),الشريف محمد امزيان,CENTRE BeNI HADIFA,مركز بني حذيفة,0539810231,Al Houceima,Taza  - Al Hoceima - Taounate
lycee BNI BOUFRAH,بني بوفراح,COMMUNE BNI BOUFRAH,جماعة  بني بوفراح,0539843775,Al Houceima,Taza  - Al Hoceima - Taounate
LYCEE alhadi teyeb hamou,ثانوية الهادي الطيب حمو,BNI AMMART,بني عمارت,0539843558,Al Houceima,Taza  - Al Hoceima - Taounate
lycee AL KHOUZAMA,الخزامى,AL HOCEIMA,الحسيمة,0539840235,Al Houceima,Taza  - Al Hoceima - Taounate
lycee RIF,الريف,COMMUNE Ajdir,لدية أجدير,0539802690,Al Houceima,Taza  - Al Hoceima - Taounate
LYCEE AL FARABI,الفارابي,COMMUE ISSAGUEN,جماعة إساكن,0666619154,Al Houceima,Taza  - Al Hoceima - Taounate
lycee ERRAZI ,الرازي,MUNICIPALITE TARGUIST,تارجيست,0663609279,Al Houceima,Taza  - Al Hoceima - Taounate
MOHAMED AJANA,محمد أجانا,HAY RIAD  MEKNES,حي الرياض - مكناس ,0661318224,Meknes,Meknès - Tafilalet
IBNOU ARROUMI,إبن الرومي ,BD AL FAKIH GHAZI ZITOUNE MEKNES,شارع الفقيه الغازي الزيتون مكناس,0535538291,Meknes,Meknès - Tafilalet
ESSALAM,السلام, WAHDA 3 SIDI BOUZEKRI,سيدي بوزكري,0661911387,Meknes,Meknès - Tafilalet
MOHAMMED V,محمد الخامس,LOT AL OUAHDA OUISLANE,نجزئة الوحدة ويسلان,0661124935,Meknes,Meknès - Tafilalet
 EL MANFALOUTI,المنفلوطي ,el manfalouti lotissement dakhla hay salam,المنفلوطي تجزئة الداخلة حي السلام,0535555341,Meknes,Meknès - Tafilalet
BADR,بدر,riad zitoune 8arr ,رياض الزيتون المقاطعة 8,0661073895,Meknes,Meknès - Tafilalet
ibnou el baytar,إبن البيطار,quartier el mansour route agourai,حي المنصور طريق أكوراي,,Meknes,Meknès - Tafilalet
toulal,تولال,quartier toulal,حي تولال,0618177182,Meknes,Meknès - Tafilalet
OUED EL MAKHAZINE,واد المخازن,DOUAR SOUSSI WISLANE,دوار السوسي  ويسلان,0535548158,Meknes,Meknès - Tafilalet
AL MARJIIA,المرجعية,bel air bmo,بلير برج مولاي عمر مكناس,0535-52-34-19,Meknes,Meknès - Tafilalet
HOUMMANE EL FETOUAKI,حمان الفطواكي, DIOUR ESSALAM COMMUNE ALISMAILIA,ديور السلام حي التقدم,0535450982,Meknes,Meknès - Tafilalet
LYCEE DE L ACADEMIE ROYALE MILITAIRE,الأكاديمية الملكية العسكرية,ACADEMIE ROYALE MILITAIRE COMMUNE MEKNES,الأكاديمية الملكية العسكرية,0535536226,Meknes,Meknès - Tafilalet
MOULAY YOUSSEF,مولاي يوسف,1 BD ZAYNE COMMUNE MEKNES,1 زنقة زيان,0535-52-08-15,Meknes,Meknès - Tafilalet
malika el fassi,مالكة الفاسي,BOUFKRANE COMMUNE BOUFKRANE,بوفكران,0661124902,Meknes,Meknès - Tafilalet
LAHCEN BEN MOHAMED BEN MBAREK,لحسن بن محمد بن مبارك,COMMUNE MHAYA,المهاية,0535449154,Meknes,Meknès - Tafilalet
MOULAY ISMAIL,المولى اسماعيل,rue wahhabi ali ben jilali vn meknes,شارع الوهابي علي بن الجيلالي المدينة الجديد مكناس,0535520217,Meknes,Meknès - Tafilalet
LALLA AMINA,للا أمينة,PLACE ABDELAZIZ BEN DRISS ,ساحة عبدالعزيز بن ادريس,0535520587,Meknes,Meknès - Tafilalet
NAHDA,النهضة,BD BIR INZARANE COMMUNE MEKNES,شارع بئر أنزران,035-52-01-36,Meknes,Meknès - Tafilalet
IMAM GHAZALI,الإمام الغزالي,BEL AIR COMMUNE MEKNES,حي بلير,035-52-28-79,Meknes,Meknès - Tafilalet
MASSIRA,المسيرة,BORJ MOULAY OMAR COMMUNE MEKNES,برج مولاي عمر,035-52-69-23,Meknes,Meknès - Tafilalet
TARIK BEN ZYAD,طارق بن زياد,BASSATINE COMMUNE MEKNES,البساتين,0535500403,Meknes,Meknès - Tafilalet
KHAWARIZMI,الخوارزمي,PLACE KHAIBER COMMUNE MY IDRISS ZERHOUNE,ساحة خيبر,035-54-40-56,Meknes,Meknès - Tafilalet
AIN KARMA,عين كرمة,AIN KARMA   COMMUNE AIN KARMA,عين كرمة,0535400554,Meknes,Meknès - Tafilalet
AHMED BEN ALI BASSOU,أحمد بن علي باسو,CENTRE URBAIN AIN JEMAA COMMUNE AIN JEMAA,مركز عين جمعة,035-51-09-79,Meknes,Meknès - Tafilalet
KASBAT ,القصبة ,QUARTIER AGDAL,حي أكدال,05355309-61,Meknes,Meknès - Tafilalet
mohamed el meknassi,محمد المكناسي, DIOUR JDAD SIDI AMER COMMUNE MEKNES,ديور الجداد حي سيدي عمرو,0535-53-07-23,Meknes,Meknès - Tafilalet
IBN AL HAYTHEM,ابن الهيثم,BAB BEL KARI  COMMUNE MEKNES,حي باب بلقري مكناس,035-53-75-60,Meknes,Meknès - Tafilalet
ZITOUNE,الزيتون,   ASAADA  ZITOUNE,السعادة  الزيتون,035-53-83-48,Meknes,Meknès - Tafilalet
OMAR IBN AL KHATTAB,عمر بن الخطاب,BD ABDELKARIM AL KHATTABI SBATA C.M.MEKNES,شارع عبد الكريم الخطابي اسباتا,0535536790,Meknes,Meknès - Tafilalet
ABDERRAHMANE IBN ZIDANE,عبد الرحمان بن زيدان,RUE AL YAMOURI SIDI BABA  COMMUNE MEKNES,حي سيدي بابا,0535-53-09-95,Meknes,Meknès - Tafilalet
LYCEE QUALIFIANT TYRS,التيرس,BIR GUENDOUZ,بئر كندوز,0662892555,Aousserd,Oued Ed-dhab - Lagouira
OUED ESSAFA,وادي الصفا,cité agricole assa,الحي الفلاحي - أســــــــا,0528700517,Assa Zag,Guelmim - Es-smara
OKBA IBNOU NAFIE,عقبة بن نافع,AVENUE 19 MAI HAY IDARI,شارع 19 ماي الحي الإداري,0528700331,Assa Zag,Guelmim - Es-smara
RGHIOUA,ارغيوة,ZAG CENTRE,الزاك المركز,0661627418,Assa Zag,Guelmim - Es-smara
 LYCEE EZZERKTOUNI ,ثانوية الزرقطوني التأهيلية,TANANT CENTRE,تنانت المركز,0661940836,Azilal,Tadla - Azilal
LYCEE KADI AYAAD ,تانوية القاضي عياض  الناهيلية,AIT AATAB CENTRE,ايت اعتاب المركز,023-45-01-86,Azilal,Tadla - Azilal
LYCEE OuZOUD ,ثانوية أزود التأهيلية, AVENUE HASSAN II AZILAL,شارع الحسن الثاني,023-45-83-07,Azilal,Tadla - Azilal
LYCEE OMAR BEN ABDELAZIZ,ثانوية عمر بن عبد العزيز التأهيلية,TIMOULILT CENTRE,تيموليلت المركز,0661940849,Azilal,Tadla - Azilal
LYCEE HASSAN PREMIER,ثانوية الحسن الأول التأهيلية ,TAGLEFT CENTRE,مركز تاكلفت,0523-44-26-07,Azilal,Tadla - Azilal
LYCEE OUED EL ABID,"ثا,واد العبيد",FOUM JEMAA,فم الجمعة,0523505064,Azilal,Tadla - Azilal
LYCEE AL MASSIRA ,ثانوية المسيرة التاهيلية,ROUTE DE MARRAKECH AZILAL,طريق مراكش ازيلال,023-45-82-35,Azilal,Tadla - Azilal
LYCEE DEMNATE ,ثانوية دمنات التاهيلية,quartier ighir tirsal,حي إغير ترسال,0661940861,Azilal,Tadla - Azilal
 LYCEE SED BIN EL OUIDANE ,ثانوية   سد بين الويدان التأهيلية,AFOURER CENTRE,افورار المركز,0523-44-00-27,Azilal,Tadla - Azilal
  LYCEE OUAOUIZEGHT ,ثانوية  واويرغت التاهيلية,ROUTE TILOUGUITE OUAOUIZEGHT,طريق تيلوكيت واويزغت,0523-44-20-93,Azilal,Tadla - Azilal
 LYCEE TIFARITI,ثانوية اتيفاريتي التأهيلية,BZOU CENTRE,ابزو المركز,0661940862,Azilal,Tadla - Azilal
LYCEE TECHNIQUE MED VI ,ثانوية محمد السادس التقنية,Quartier Tanout Azilal,حي تانوت أزيلال,0661940860,Azilal,Tadla - Azilal
LYCEE iGHRaM LAALAM,الثانوية التأهيلية إغرم لعلام,COMMUNE RURALE DIR LAKSIBA,جماعة دير القصيبة,0661940920,Beni Mellal,Tadla - Azilal
LYCEE ATTOUFFAH,ثانوية التفاح التأهيلية,CENTRE TIZI NISLI,مركز تيزي نسلي,0523422620,Beni Mellal,Tadla - Azilal
LYCEE ANNOUR,ثانوية النور التأهيلية,LOTISSEMENT ANNOUR  COMMUN OULED M'BAREK,تجزئة النور جماتعة أولاد امبارك,074909454,Beni Mellal,Tadla - Azilal
LYCEE SIDI AMR OU HALLI,ثانوية سيدي اعمر أوحلي التأهيلية,QUARTIER ADMINISTRATIF AGHBALA CENTRE,الحي الإداري مركز أغبالة,0523510163,Beni Mellal,Tadla - Azilal
lycée ouled ayad ,ثانوية اولاد عياد التاهيلية,ouled ayad,اولاد عياد,0678525889,Beni Mellal,Tadla - Azilal
LYCEE AL ATLAS,ثانوية الأطلس الـتأهيلية ,CENTRE ZAOUYAT CHEIKH,مركز زاوية الشيخ,0523-51-92-13,Beni Mellal,Tadla - Azilal
LYCEE IBNOU TOFAYL,ثانوية ابن طفيل التأهيلية,COMMUNE OULED YAICH,جماعة اولاد يعيش,0523-51-61-98,Beni Mellal,Tadla - Azilal
Lycee IBNOU EL AOUAM,ثانوية ابن العوام التأهيلية,AL HAY AL IDARI SIDI JABER,الحي الإداري سيدي جابر,0523-45-52-11,Beni Mellal,Tadla - Azilal
LYCEE IBNOU SINA,ثانوية ابن سينا التاهيلية,BAB FTOUH BENIMELLAL,باب افتوح بني ملال,0661940968,Beni Mellal,Tadla - Azilal
LYCEE HASSAN II,ثانوية الحسن الثاني التأهيلية,BD BEYROUT BENI MELLAL,شارع بيروت,0523-48-24-51,Beni Mellal,Tadla - Azilal
LYCEE MOHAMED V,ثانوية محمد الخامس التقنية,BOULEVARD 20 AOUT QUARTIER ATLAS,شارع 20 غشت حي اطلس ,0523-48-32-43,Beni Mellal,Tadla - Azilal
LYCEE MOULAY RACHID,ثانوية مولاي رشيد التأهيلية,HAY MAJJAT ROUTE DE CASA sidi hammou ezzine,حي مجاط طرق الدارالبيضاء سيدي حمو الزين,0661940976,Beni Mellal,Tadla - Azilal
LYCEE TAREK IBNOU ZYAD,ثانوية طارق بن زياد التأهيلية,Boulevard  MOHAMED V IGUIGUE,شارع محمد الخامس ، إكيك,0661940973,Beni Mellal,Tadla - Azilal
LYCEE AL AMRYA,ثانوية العامرية التأهيلية,HAY EL AMRIA,حي العامرية,0523-48-76-40,Beni Mellal,Tadla - Azilal
LYCEE MOHA OU HAMMOU,ثانوية موحى وحمو التأهيلية,HAY OURIR BENI MELLAL,حي أورير بني ملال,0661940972,Beni Mellal,Tadla - Azilal
LYCEE MOULAY ISMAIL,ثانوية مولاي اسماعيل التأهيلية,RUE SIDI BELGASEM KASBA TADLA,زنقة سيدي بلكاسم قصبة تادلة,0523418939,Beni Mellal,Tadla - Azilal
LYCEE OUM ROUMMANE,ثانوية أم الرمان التأهيلية,HAY BOUYMAJANE ROUTE DE KHENIFRA,حي بويمجان طرق خنيفرة,0523419944,Beni Mellal,Tadla - Azilal
LYCEE TAGHZIRT,ثانوية تاكزيرت التأهيلية,QUARTIER ADMINISTRATIF  AIT HBIBI,"الحي الإداري , أيت حبيبي",0661940987,Beni Mellal,Tadla - Azilal
LYCEE QUALIFIANT CHARIF AL IDRISSI,الثانوية التأهيلية الشريف الادريسي,boulevard des far benslimane ,  شارع الجيش الملكي بنسليمان ,0523291593,Benslimane,Chaouia - Ourdigha
LYCEE QUALIFIANT HASAN II,الثانوية التأهيلية الحسن الثاني,BOULEVARD HASSAN 2 COMMUNE BEN SLIMANE,شارع الحسن الثاني جماعة بنسليمان,0523-29-14-77,Benslimane,Chaouia - Ourdigha
LYCEE QUALIFIANT IBN KHALDOUNE,الثانوية التأهيلية ابن خلدون,BD ALLAL BEN ABDELLAH,شارع علال بن عبد الله,0537743283,Benslimane,Chaouia - Ourdigha
LYCEE QUALIFIANT Mohamed ben abdelkrim el khattabi    ,الثانوية التأهيلية محمد بن عبد الكريم الخطابي,CENTRE MELLILA COMMUNE MELLILA,مركز مليلة جماعة مليلة,0671803720,Benslimane,Chaouia - Ourdigha
Lycée qualifiant EL MANSOURIA,الثانوية التأهيلية المنصورية,Commune El Mansouria,جماعة المنصورية,0661915554,Benslimane,Chaouia - Ourdigha
KHALID BNOU ELOUALID,خالد بن الوليد,RUE LAIMOUNE HAY ESSAADA,زنقة الليمون حي السعادة,0642140515,Berkane,l'Oriental
IBNOU SINA,ابن سينا,HAY GHARBI,الحي الغربي,,Berkane,l'Oriental
ALQODS,القدس,ROUTE DE MARRAKECH B P180,زنقة مراكش ص ب 180,036-61-30-78,Berkane,l'Oriental
IBN BATOUTA,ابن بطوطة,MUNICIPALITE AKLIM,أكليم,0536635037,Berkane,l'Oriental
laymoune,الليمون,route oujda,طريق وجدة,0574901152,Berkane,l'Oriental
ABOU LKHAIR,أبي الخير,LYCEE ABOU LKHAIR  RUE LA VICTOIRE,شارع النصر,036-61-38-35,Berkane,l'Oriental
MOULOUIYA,ملوية,HAY AL MASSIRA ALKHADRA,حي المسيرة الخضراء,0642140524,Berkane,l'Oriental
ENNAHDA,النهضة,ROUTE DE BERKANE,شارع بركان أحفير,0536628157,Berkane,l'Oriental
LYCEE AGRICOLE,الثانوية الفلاحية,ROUTE DE MADAGH,طريق مداغ,036-61-19-23,Berkane,l'Oriental
Lycée AHMED BEN MOHAMED ERRACHDI, ثانوية احمد بن محمد الراشدي التأهيلية,CITE ADMINISTRATIVE COMMUNE BOUJDOUR,مركز يوجدور,061900387,Boujdour,Laayoune-Boujdour-Sakia Al Hamra
Lycée ENNACER, ثانوية النصر التأهيلية,HAY EL WAHDA  COMMUNE BOUJDOUR,حي الوحدة بوجدور,0661901542,Boujdour,Laayoune-Boujdour-Sakia Al Hamra
Lycée AL BAKALI ,ثانوية البقالي التأهيلية,QUARTIER ATANMIYA BOUJDOUR,حي التنمية بوجدور,0661644746,Boujdour,Laayoune-Boujdour-Sakia Al Hamra
MOULAY EL HASSANE,مولاي الحسن,hay nahda MISSOUR CENTRE,مركز ميسور حي النهضة,,Boulmane,Fès - Boulmane
ABOU HANIFA,أبو حنيفة,COMMUNE LAKSABI MOULOUYA, جماعة لقصابي,,Boulmane,Fès - Boulmane
OMAR IBN AL KHATTAB,عمر بن الخطاب,TANDIT 19 COMMUNE FRITISSA  BOULMANE,تانديت 19 جماعة افريطيسة  اقليم بولمان,0663660424,Boulmane,Fès - Boulmane
ABOU BAKR ERRAZI,ابو بكر الرازي,GUIGOU CENTRE,كيكو المركز,0660146362,Boulmane,Fès - Boulmane
TICHOUKT,تيشوكت,BOULEMANE CENTRE,بولمان المركز,0660146361,Boulmane,Fès - Boulmane
MISSOUR MIXTE,ميسور المختلطة,MISSOUR CENTRE,ميسور المركز,0660146360,Boulmane,Fès - Boulmane
EL MOURABITINE,المرابطين,OUTAT EL HAJ CENTRE,اوطاط الحاج المركز,0660146359,Boulmane,Fès - Boulmane
2 OCTOBRE,2اكتوبر,IMOUZER MARMOUCHA CENTRE,ايموزار مرموشة المركز,0660146358,Boulmane,Fès - Boulmane
JABER BNOU HAYANE,جابر بن حيان,128 BD LA RESISTANCE  COMMUNE SIDI BELYOUT,128 شارع المقاومة سيدي بليوط,0522-30-92-15,Casablanca Anfa,Grand Casablanca
AL KHANSA,الخنساء,15 RUE RIAD  COMMUNE SIDI BELYOUT,15 زنقة الرياض سيدي بليوط,0522-22-33-07,Casablanca Anfa,Grand Casablanca
CHAWQI,شوقي,2 BD MOHAMED ABDOUH COMMUNE SIDI BELYOUT,2 شارع محمد عبده سيدي بليوط,0522-27-73-62,Casablanca Anfa,Grand Casablanca
IBN TOUMERT,ابن تومرت,100 AVENUE HASSAN PREMIER COMMUNE SIDI BELYOUT,100 شارع الحسن الأول سيدي بليوط,0522-27-42-36,Casablanca Anfa,Grand Casablanca
OMAR BNOU ALKHATTAB,عمر بن الخطاب,RUE EL MEDIAK ANFA  COMMUNE  ANFA,زنقة المضيق أنفا,0522-36-49-40,Casablanca Anfa,Grand Casablanca
MOULAY IDRISS PREMIER,مولاي إدريس الأول,BD ABDELLATIF BEN KADOUR   COMMUNE ANFA,شارع عبد اللطيف بن قدور أنفا,0522-36-20-32,Casablanca Anfa,Grand Casablanca
OUALLADA,ولادة,RUE AHMED CHERCI COMMUNE ANFA,زنقة أحمد الشرسي أنفا,0522-36-12-33,Casablanca Anfa,Grand Casablanca
AL MASJID,المسجد,RUE IBNOU JAHIRE ALHANK  COMMUNE ANFA,زنقة ابن جهير العنق أنفا,0522-39-15-54,Casablanca Anfa,Grand Casablanca
AL OUAHA,الواحة,RUE AHMED KADMIRI COMMUNE MAARIF,زنقة أحمد القدميري المعاريف,0522-25-66-18,Casablanca Anfa,Grand Casablanca
MOULAY ABDELLAH,الأمير مولاي عبد الله,35 BD MODIBO KEITA COMMUNE MAARIF,35 شارع موديبوكيتا المعاريف,0522-28-22-75,Casablanca Anfa,Grand Casablanca
ABDELKRIM LAHLOU,عبد الكريم لحلو,147 BD MY IDRISS PREMIER COMMUNE MAARIF,147 زنقة مولاي إدريس الأول المعاريف,0522-86-00-07,Casablanca Anfa,Grand Casablanca
AL IMAM AL BOUKHARI,الإمام البخاري,RUE SAVOIE COMMUNE MAARIF,زنقة سافوا المعاريف,0522860009,Casablanca Anfa,Grand Casablanca
ZERYAB,زرياب,BD IBN SINA MAARIF,شارع ابن سينا,0522365899,Casablanca Anfa,Grand Casablanca
LYCEE MOHAMED VI, الثانوية التأهيلية محمد السادس,HAY TRIPOLI RUE 7,حي طرابلس زنقة 7,022281800,Al fida_Mers Sultan,Grand Casablanca
JAMAL EDDINe ALMAHIAOUI,جمال الدين المهياوي,EL AMAL 2  PROLONGEMENT BD AL FIDA,شارع الفداء الممتد حي الامل 2,022288268,Al fida_Mers Sultan,Grand Casablanca
SALAHEDDIN AL AYOUBI,صلاح الدين الايوبي,AMAL 2 PROLONGEMENT BD ALFIDA,أمل 2 امتداد شارع الفداء,0522284898,Al fida_Mers Sultan,Grand Casablanca
TAHA HOUSSEIN,طه حسين,IDRISSIA 2,حي الإدريسية 2,022815237,Al fida_Mers Sultan,Grand Casablanca
OUM AL BANINE,أم البنين,HAY EL MASJID RUE iii,حي المسجد زنقة 3,022281115,Al fida_Mers Sultan,Grand Casablanca
AL KHAOUARIZMI,الخوارزمي,BD LA GIRONDE,شارع لاجيروند,022808332,Al fida_Mers Sultan,Grand Casablanca
BIR ANZARANE,بئرانزران,BD LA GIRONDE  RUE LA DORDOGNE,زنقة لادوردون شارع لاجيروند,022812917,Al fida_Mers Sultan,Grand Casablanca
MOHAMED V,محمد الخامس,BD 2 MARS,شارع 2 مارس,022286002,Al fida_Mers Sultan,Grand Casablanca
EL BAKILLANI,الباقلاني,SIDI MAAROUF 4  RUE 50,سيدي معروف 4 زنقة 50,022288678,Al fida_Mers Sultan,Grand Casablanca
FATIMA AZZAHRA,فاطمة الزهراء,83 BD VICTOR HUGO  - EL MECHOUAR,زاوية شارع فيكتور هيغو والامام القسطلاني,022303911,Al fida_Mers Sultan,Grand Casablanca
EL BOUHTOURI,البحتري,RUE IBNOU HAZEM LAVILLETE  HAY MOHAMMADI,زنقة ابن حزم لافيليث الحي المحمدي,0 522602392,Ain Sebaa_Hay Mohammadi,Grand Casablanca
MOSTAFA LAMAANI,مصطفى المعاني,LAVILLETE HAY MOHAMMADI,لافيليث الحي المحمدي,0522-62-36-14,Ain Sebaa_Hay Mohammadi,Grand Casablanca
HOUSSAIN BNOU ALI,الحسين بن علي,BOULEVARD LA GRANDE CEINTURE HAY MOHAMMADI,شارع الحزام الكبير الحي المحمدي,0522666604,Ain Sebaa_Hay Mohammadi,Grand Casablanca
IBNOU AL BANNA AL MOURAKOUCHI,ابن البناء المراكشي,RUE EMILE BRINI ROCHES NOIRES,زنقة إميل بروني الصخور السوداء,0522-62-02-75,Ain Sebaa_Hay Mohammadi,Grand Casablanca
OKBA BNOU NAFII,عقبة بن نافع,BD OQBA BNOU NAFII HAY MOHAMMADI,شارع عقبة بن نافع الحي المحمدي,022-60-40-32,Ain Sebaa_Hay Mohammadi,Grand Casablanca
BAROUDI,البارودي,ROUTE ALWAHDA AIN SEBAA,طريق الوحدة عين السبع,022-35-32-70,Ain Sebaa_Hay Mohammadi,Grand Casablanca
