NOM_ETABLISSENTFR,NOM_ETABLISSENTAR,ADRESSEFR,ADRESSEAR,TELEPHONE,PROVINCE,REGION
MOHAMMED EL KHAMISS,محمد  الخامس,CYM LAKOISSE YAACOUB ELMANSOUR,الاقواس   يعقوب  المنصور,0679798584,Rabat,Rabat - Salé - Zemmour - Zaer
MOHAMED BEN YOUSSEF,محمد بن  يوسف,AV LA MARCHE  EL KOUASS CYM,شارع المسيرة  الاقواس   ي   م,0660191275,Rabat,Rabat - Salé - Zemmour - Zaer
ALAMAL,الأمل,J 5 AMAL1 YACACOUB ELMANSOUR,ج 5 امل 1ح ي م,0679798582,Rabat,Rabat - Salé - Zemmour - Zaer
AMMAR BNOU YASSIR,عمار بن ياسر,avenue  chbanat  c  ym,شارع الشبانات   يعقوب  المنصور,0660191276,Rabat,Rabat - Salé - Zemmour - Zaer
MOHAMED RAZI,محمد الرازي,AV EL IJTIHAD YAACOUB ELMANSOUR,شارع ا لاجتهاد   الاقواس   ي  م,0679798585,Rabat,Rabat - Salé - Zemmour - Zaer
ELMAGHREB ELARABI,المغرب العربي,avenue el massira bittat cym   rabat,شارع المسيرة  البيتات ح.ي.م - الرباط,0660480283,Rabat,Rabat - Salé - Zemmour - Zaer
OUED ELMAKHAZIN,وادي المخازن,AL AKOIS Amal 0 hay YAACOUB ELMANSOUR, الأقواس أمل0 حي يعقوب المنصور,0679798586,Rabat,Rabat - Salé - Zemmour - Zaer
ELAHD ELJADID,العهد الجديد,AVENUE EL MASSIRA AMAL 3 YAACOUB ELMANSOUR,شارع المسيرة امل 3 حي يعقوب المنصور,0660191277,Rabat,Rabat - Salé - Zemmour - Zaer
HASSAN ELMARRAKCHI,الحسن المراكشي,AV EL MAJDE YAACOUB MANSOUR,شارع المجد يعقوب المنصور,0679798581,Rabat,Rabat - Salé - Zemmour - Zaer
MOUKHTAR JAZOULIT,المختار جزوليت,HAY EL FATH AL MASSIRA YAACOUB ELMANSOUR,حي الفتح المسيرة  يعقوب المنصور,0660191278,Rabat,Rabat - Salé - Zemmour - Zaer
ESSMARA,اسمارة,HAY EL MASSIRA YAACOUB ELMANSOUR,حي المسيرة يعقوب المنصور,0660191279,Rabat,Rabat - Salé - Zemmour - Zaer
FAKIH MOHAMMED GHAZI,الفقيه محمد غازي,AMAL 4 SUPL YAACOUB ELMANSOUR,امل 4 اضافي ح ي م       ,0660191280,Rabat,Rabat - Salé - Zemmour - Zaer
MOKHTAR ESSOUSSI,المختار السوسي,HAY EL MANZAH YAACOUB ELMANSOUR,حي المنزه يعقوب المنصور,0660191281,Rabat,Rabat - Salé - Zemmour - Zaer
CHAHID RAHAL BEN AHMED,الشهيد رحال بن احمد,HAY EL MANZAH YAACOUB ELMANSOUR,حي المنزه يعقوب المنصور,0660191282,Rabat,Rabat - Salé - Zemmour - Zaer
ELFATH,الفتح,HAY EL MASSIRA YAACOUB MANSOUR,حي المسيرة يعقوب المنصور,0660191283,Rabat,Rabat - Salé - Zemmour - Zaer
LHIZAM ALAKHDER,الحزام الأخضر,HAY EL FATH,حي الفتح,0660191284,Rabat,Rabat - Salé - Zemmour - Zaer
MECHOUAR ESSAID,المشور السعيد,TOUARGA RABAT,تواركة الرباط,0679798587,Rabat,Rabat - Salé - Zemmour - Zaer
OUED AKRACH,وادي عكراش,SOUK AKRACHE YOUSSOUIFIA,سوق عكراش اليوسفية,0679798588,Rabat,Rabat - Salé - Zemmour - Zaer
SIDI BEN ACHIR,سيدي بن عاشر,AV MASSIRA KHADRA COMMUNE DE BETANA,شارع المسيرة الخضراء بطانة,0679798666,Salé,Rabat - Salé - Zemmour - Zaer
MOHAMMED ABDOU,محمد عبده,COMMUNE DE BETANA,جماعة بطانة,0660191145,Salé,Rabat - Salé - Zemmour - Zaer
IBN KHALDOUN,إبن خلدون,COMMUNE DE BETTANA,بطانة حي السلام,0660191371,Salé,Rabat - Salé - Zemmour - Zaer
AHMED BEN ABDENBI,أحمد بنعبد النبي,AV LMASSIRA LKHADRA COMMUNE DE BETTANA,شارع المسيرة الخضراء - بطانة,079798664,Salé,Rabat - Salé - Zemmour - Zaer
IBN TOFAIL,ابن طفيل,AV ARIANA HAY ESSALAM COMMUNE DE BETTANA,شارع أريانة حي السلام,0679798663,Salé,Rabat - Salé - Zemmour - Zaer
BOUBKER HAMMADI,بوبكر   حمادي, HAY ESSALAM COMMUNE DE BETTANA,   حي السلام بطانة,066019372,Salé,Rabat - Salé - Zemmour - Zaer
IBN HAZM,ابن حزم,AVENUE ALMILAHA SECTEUR 6 HAY ESSALAM,شارع الملاحة قطاع 6 - حي السلام,0660191146,Salé,Rabat - Salé - Zemmour - Zaer
 Ecole JIL ANNAJAH,م.جيل النجاح,HAY MY ISMAIL COMMUNE DE BETTANA,حي مولاي اسماعيل  - بطانة,060191147,Salé,Rabat - Salé - Zemmour - Zaer
IMAM TABARI,الامام الطبري,HAY MY ISMAIL COMMUNE DE BETTANA,حي مولاي اسماعيل,0660191148,Salé,Rabat - Salé - Zemmour - Zaer
AL MOUFTI BOUBKER ZNIBER,المفتي أبو بكر زنيبر,HAY ESSALAM COMMUNE DE BETTANA,حي السلام جماعة بطانة,060191149,Salé,Rabat - Salé - Zemmour - Zaer
ecole mohammed ezziraoui,م. الزيراوي,HAY MY ISMAIL  COMMUNE DE BETTANA,حي مولاي اسماعيل  - بطانة,0660191150,Salé,Rabat - Salé - Zemmour - Zaer
HAY ESSALAM,حي السلام,secteur 11 Extention Hay Essalam  Sale,سكتور 11 إضافي - حي السلام - سلا,0660191151,Salé,Rabat - Salé - Zemmour - Zaer
LALLA ASMAA,لالة أسماء,PLACE BAB HSSEIN COMMUNE BAB LAMRISSA,ساحة باب احساين,066039550,Salé,Rabat - Salé - Zemmour - Zaer
IBN TOUMERT,ابن تومرت,av said hajji charatine,شاريع سعيد حجي الشراطين,0679798656,Salé,Rabat - Salé - Zemmour - Zaer
SIDI BOUHAJA,سيدي بوحاجة,AV. ALGICHE ALMALAKI BOU HAJA COMMUNE BAB LAMRISSA,شارع الجيش الملكي,06601935,Salé,Rabat - Salé - Zemmour - Zaer
MOULAY MEKKI ALAOUI,مولاي المكي العلوي,AV MY ALI CHRIF COMMUNE BAB LAMRISSA,شارع مولاي علي الشريف - سلا,0579798657,Salé,Rabat - Salé - Zemmour - Zaer
IBN BATTOUTA,ابن بطوطة,Avenue 2 MARS  BAB Elkhamiss - LAMRISSA - salé,شارع 2 مارس باب الخميس لمريسة - سلا,,Salé,Rabat - Salé - Zemmour - Zaer
FATIMA EL FIHRIA,فاطمة الفهرية,AV 2 MARS COMMUNE BAB LAMRISSA,باب الخميس,0660191133,Salé,Rabat - Salé - Zemmour - Zaer
HAMMAN ELFATOUAKI,حمان الفطواكي,BAB SEBTA COMMUNE BAB LAMRISSA,باب سبتة لمريسة,0660191134,Salé,Rabat - Salé - Zemmour - Zaer
ZINE EL ABIDINE BENABOUD,زين العابدين بن عبود,SIDI MOUSSA COMMUNE BAB LAMRISSA,سيدي موسى,037844404,Salé,Rabat - Salé - Zemmour - Zaer
SIDI MOUSSA DOUKKALI,سيدي موسى الدكالي,BAB CHAAFA COMMUNE BAB LAMRISSA,خارج باب شعفة,0660191135,Salé,Rabat - Salé - Zemmour - Zaer
ALLAMA ALI AOUAD,العلامة علي عواد,LOTISSEMENT 2 ROUTE KENITRA COMMUNE BAB LAMRISSA,سيدي موسى العلامة علي عواد طريق القنيطرة سلا,,Salé,Rabat - Salé - Zemmour - Zaer
ZOUBEIR BNOU EL OUAM,الزوبير بن العوام,SANIAT SALIMA SIDI MOUSSA,سيدي موسى,0660191137,Salé,Rabat - Salé - Zemmour - Zaer
AHMED EL JARIRI,أحمد الجريري,AV. ENASIR SIDI MOUSSA,شارع النصر سيدي موسى,0660191138,Salé,Rabat - Salé - Zemmour - Zaer
ASSAKIA EL HAMRA,الساقية الحمراء,HAY CHMAOU R.KENITRA COMMUNE BAB LAMRISSA,حي اشماعو,,Salé,Rabat - Salé - Zemmour - Zaer
LAFKIH BRITEL,الفقيه محمد بريطل,LOTISSEMENT RACHID DOUIBI ROUTE KENITRA SALE,تجزئة رشيد الدويبي طريق القنيطرة - سلا,0660191140,Salé,Rabat - Salé - Zemmour - Zaer
OUED EDDAHAB,واد الذهب,AV MY YOUSSEF COMMUNE DE TABRIQUET,"شارع م,يوسف  تابريكت",0660191187,Salé,Rabat - Salé - Zemmour - Zaer
ABI ALHASSAN ALKABISSI,ابو الحسن القابسي,AV ABDELKHALK ATARRISS COMMUNE DE TABRIQUET,تابريكت,0660191188,Salé,Rabat - Salé - Zemmour - Zaer
MOHAMED ERRIHANI,محمد الريحاني,01RUE AIN  LOUH PEPINIERE   TABRIQUET,"01 , زنقة عين اللوح  حي المزرعة تابريكت - سلا",0679798662,Salé,Rabat - Salé - Zemmour - Zaer
MOUSSA BNOU NOUSSAIR,موسى بن نصير,AV MY YOUSSEF COMMUNE DE TABRIQUET,شارع مولاي يويف تابريكت,0679798660,Salé,Rabat - Salé - Zemmour - Zaer
DAT ENNITAKAIN,ذات النطاقين,AV MY YOUSSEF COMMUNE DE TABRIQUET,تابريكت,0660191189,Salé,Rabat - Salé - Zemmour - Zaer
LALLA MERYEM,الاميرة للامريم,AVENUE LALLA MERYEM PRES MOSQUEE HIHI TABRIQUETE,شارع الاميرة للامريم قرب مسجد الحيحي تابريكت - سلا,0679798659,Salé,Rabat - Salé - Zemmour - Zaer
RABIA AL ADAOUIA,رابعة العدوية,RUE ALFARISSIA COMMUNE DE TABRIQUET,زنقة الفارسية شارع المرابطين - تابريكت,0679798661,Salé,Rabat - Salé - Zemmour - Zaer
AL AYACHI,العياشي,AV ALJAZIRA AL ARABIA COMMUNE DE TABRIQUET,شارع الجزيرة العربية  تابريكت - سلا,0660191190,Salé,Rabat - Salé - Zemmour - Zaer
AALLAMA MADANI ESSAFFAR,العلامة المدني الصفار,RAS ALMA COMMUNE DE TABRIQUET,راس الماء تابريكت - سلا,,Salé,Rabat - Salé - Zemmour - Zaer
BILAL BNOU RABAH,بلال بن رباح,HAY INBIAAT RUE SHELLA N 91 TABRIQUET SALE,زنقة شالة  رقم 91 حي الانبعاث - سلا,0660191193,Salé,Rabat - Salé - Zemmour - Zaer
ALLAMA ABDERRAHMAN EL KETTANI,العلامة عبد الرحمان الكتاني,HAY ALINBIAAT COMMUNE DE TABRIQUET,شارع عبد الرحيم بوعبيد حي الانبعاث - سلا,0660191194,Salé,Rabat - Salé - Zemmour - Zaer
MOHAMED HASSAR,محمد حصار,AV BOUKRAA HAY LAFROUGUI COMMUNE DE TABRIQUET,حي لفروكي شارع بوكراع تابريكت,0660191196,Salé,Rabat - Salé - Zemmour - Zaer
EL MOKHTAR SOUSSI,المختار السوسي,BLED BENDAOUD COMMUNE DE TABRIQUET,بلاد بنداود - تابريكت,0660191197,Salé,Rabat - Salé - Zemmour - Zaer
IBN ZAYDOUN,ابن زيدون,HAY CHIKH ALMFADDEL COMMUNE DE TABRIQUET,حي الشيخ المفضل - تابريكت,0660191198,Salé,Rabat - Salé - Zemmour - Zaer
IBN AL MOUKAFFAA,ابن المقـفع,RUE  BENDEHMAN  BHAY KARIMA 1 COMMUNE DE TABRIQUET,حي كريمة تابريكت,0660191199,Salé,Rabat - Salé - Zemmour - Zaer
RADI SLAOUI,الراضي السلاوي,HAY KARIMA LOTIS ALAHBAS COMMUNE DE TABRIQUET,تابركت,0660191200,Salé,Rabat - Salé - Zemmour - Zaer
FAKIH ABDESSALAM EZZAHRAOUI,الفقيه عبد السلام الزهراوي,AV.ALI BEN ABITALIB HAY RAHMA COMMUNE DE TABRIQUET,حي الرحمة,0660191201,Salé,Rabat - Salé - Zemmour - Zaer
ABI INAN ALMARINI,ابي عنان المريني,HAY RAHMA COMMUNE DE TABRIQUET,حي الرحمة  تابريكت,-  -  -,Salé,Rabat - Salé - Zemmour - Zaer
AHMED ESSALMI,احمد السالمي,Hay rahma secteur E Tabriquet,"حي الرحمة قطاع ""واو"" تابريكت ",0660191203,Salé,Rabat - Salé - Zemmour - Zaer
mohamed ould ali meknassi,محمد ولد علي المكناسي,HAY ALINBIAAT COMMUNE DE TABRIQUET,حي الإنبعاث زنقة  بوجنيبة سلا,0660191204,Salé,Rabat - Salé - Zemmour - Zaer
MOHAMED BELKBIR,محمد بلكبير,HAY RAHMA COMMUNE DE TABRIQUET,حي الرحمة  تابريكت,-  -  -,Salé,Rabat - Salé - Zemmour - Zaer
ecole ibn zakor,م. إبن زاكور,HAY  CHEICK LMFADDEL TABRIQUT,حي الشيخ المفضل تابريكت,0660191206,Salé,Rabat - Salé - Zemmour - Zaer
SAAD BNOU ABI OIKKAS,سعد بن أبي وقاص,SANIAT BELKBIR COMMUNE DE TABRIQUET,سانية بلكبير - تابريكت,0660191207,Salé,Rabat - Salé - Zemmour - Zaer
BADRE,بدر,LOT LEFROUGUI - HAY KARIMA TABRIQUTE,تجزئة لفروكي - حي كريمة تابريكت,0679798668,Salé,Rabat - Salé - Zemmour - Zaer
AL AHD AL JADID,مدرسة العهد الجديد,HAY ALINBIAAT COMMUNE DE TABRIQUET,حي الانبعاث - تابريكت,063748491,Salé,Rabat - Salé - Zemmour - Zaer
AL MARINYINE,المرينيين,RTE BASE AERIENNE 1100 SALE,شارع القاعدة الجوية,0660191209,Salé,Rabat - Salé - Zemmour - Zaer
ABI HORAYRA,أبي هريرة,RUE OUGANDA COMMUNE DE TABRIQUET,زنقة أوغندا حي روستال - تابريكت,0660191210,Salé,Rabat - Salé - Zemmour - Zaer
ALMATAR ALAASKARI,المطار العسكري,HAY ALASKARI BASE ROYAL AIR COMMUNE LAYAYDA,الحي العسكري لعيايدة,0660191173,Salé,Rabat - Salé - Zemmour - Zaer
ecole ahmed maaninou,م.أحمد معنينو,ROUTE KENITRA KM 6 COMMUNE LAYAYDA,طريق القنيطرة كلم 6,0660191174,Salé,Rabat - Salé - Zemmour - Zaer
AL MASSIRA,المسيرة,SECTEUR B HAY ARRAHMA TABRIQUET  SALE,سكتور ب حي الرحمة تابريكت - سلا,0660191211,Salé,Rabat - Salé - Zemmour - Zaer
HASSAN BNOU TABIT,حسان بن ثابت,HAY ARRAHMA  TABRIQUET,حي الرحمة - تابريكت,0660191212,Salé,Rabat - Salé - Zemmour - Zaer
AL AMAL,الأمل,HAY OUED EDDAHAB COMMUNE LAYAYDA,حي واد اادهب,0660191175,Salé,Rabat - Salé - Zemmour - Zaer
ecole  rahhal  elmeskini,م. رحال المسكيني,RUE LIBIA HAY RAHMA COMMUNE DE TABRIQUET,زنقة ليبيا حي الرحمة تابريكت - سلا,060191213,Salé,Rabat - Salé - Zemmour - Zaer
TAKANAT ALMIDALLYINE,ثكنة المظليين,ROUTE MEKNES ALMAAMOURA COMMUNE LAYAYDA,طريق مكناس - كلم 10 - الحي العسكري - معمورة,0648704562,Salé,Rabat - Salé - Zemmour - Zaer
fARhat hachaD ,فرحات حشاد,COMMUNE LAYAYDA,جماعة لعيايدة,0660191177,Salé,Rabat - Salé - Zemmour - Zaer
AL BOUHTOURI,البحتري,HAY OUAD ADDAHAB -  LAYAYDA,حي وادي الذهب العيايدة - سلا,0661911785,Salé,Rabat - Salé - Zemmour - Zaer
