Nom Etablissement,Adresse,Ville,Téléphone,FAX,EMAIL,Nature,Cycle d'enseignement,Région,Province,Commune
DAR ASSALAM ALHASSANIA,AV  MOHAMMED VI KM 75 SOUISSI,Rabat,679798583,-  -  -,d.alhassania@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
ABDERRAHMAN BNO AOUF,ROUTE AYNE KHALUYA DAR ESSALAME YOUSSOUFIA,Rabat,660191271,-  -  -,khalouia_ecole@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
MOHAMED BELHASSAN ELOUAZZANI,HAY NAHDA 1 COMPLEMENTAIRE,Rabat,660191258,-  -  -,mohamedbelhassanouazani@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
SIX NOVEMBRE,HAY NAHDA YOUssouFIA,Rabat,660191259,-  -  -,rabat-6novembre@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
ALLAMA ABDELLAH ALJIRARI,HAY NAHDA YOUSSOUFIA,Rabat,660191260,-  -  -,jirari1984@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
AHMED EL KACIMI,TAKADOUME  YOUSSOUFIA,Rabat,679798590,-  -  -,kasmi.ahmed3@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
TAKADDOUM,AV HOUMANE ELFATOIKI BLOC8 TAKADOUME YOUSSOUFIA,Rabat,679798589,-  -  -,ecotakaddoum@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
EL MASSIRA,DOUAR EHAJA HAY ELFARAH TAKADOUME YOUSSOUFIA,Rabat,679798617,-  -  -,ecolemassira@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
LHASSAN ELYOUSSI,QUARTIER INDUSTRIEL OILJA YOUSSOUFIA,Rabat,660480138,-  -  -,eelyoussi@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
IDRISS AL AWWAL,HAY  LINBIAAT  YOUSSOUFIA,Rabat,679798619,-  -  -,idriss-alawwal@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
AHMED RACHIDI,HAY AL INBIAAT YOUSSOUFIA,Rabat,660480292,-  -  -,ahmedrachidi_rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
ELFARABI,hay abi regrague el youssoufia,Rabat,679798616,-  -  -,farabiecole@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
alalama   MOHAMMED BEN SLIMANE JAZOULI,CHARIE OULED SBAA RUE 82 HAY bouregreg,Rabat,660191261,-  -  -,ecole.jazouli@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
DRISS BAHRAOUI YOUSSOUFIA,HAY EL YOUSSOUFIA YOUSSOUFIA,Rabat,679798618,-  -  -,bahraoui.you@hotmail.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
ALINBIAAT,CITE EL YOUSSOUFIA   OUEST,Rabat,679798620,-  -  -,ECOLE.ALINBIAAT@YAHOO.FR,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
IMAM MALIK,AV HOUMANE EL FATOIKI  YOUSSOUFIA,Rabat,660191262,-  -  -,ecole.imam.malik@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
BANI MARINE,HAY EL OUFIR YOUSSOUFIA,Rabat,-  -  -,-  -  -,NULL,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
11-janv.,CHARIA TADLA MABELA YOUSOUFIA,Rabat,679798615,,ecole11yanayar@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
ALMOURABITINE,RUE EZYAYDA  AVIATION  EL YOUSSOUFIA,Rabat,660191263,,ecolealmourabitine-rabat@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
OMAR BEN ABDELAZIZ,HAY EL IDARI YOUSSOUFIA,Rabat,679798621,-  -  -,omar_ecole@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
AL IMAN GHAZALI,HAY NAHDA 3 YOUSSOUFIA,Rabat,679798623,-  -  -,alimamalghazali@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
LISSANE EDDINE BNO LKHATIB,HAY NAHDA 2 QUARTIER INDUSTRIEL YOUSSOUIFIA,Rabat,660191265,-  -  -,lissanedinekhatib@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
MANSOUR EDDAHBI,AV AL HORIA DOUAR RAJA FI LLAH YAACOUB ELMANSOUR,Rabat,660479538,-  -  -,m.lamliki@gmail.com,Lycée qualifiant enseignement général                                 ,Etablissement de l'Enseignement Qualifiant,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ANNOUR ALMOUHAMMADI,AV MED BENABDELLAH CYM YAACOUB ELMANSOUR,Rabat,679798624,-  -  -,ecole.normohamadi_rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
YAACOUB ALMANSOUR,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,Rabat,679798603,-  -  -,ecolyacoubalmansour@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
OKBA BNO NAFIEA,AV MED BEN ABDELLAH CYM YAACOUB ELMANSOUR,Rabat,679798606,-  -  -,ecolokba@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ABDELMALEK SAADI,RUE RAHMA 301 HAY RAJAA FI ALLA YAACOUB ELMANSOUR,Rabat,679798604,-  -  -,abdelmaleksaadi@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
FATIMA AZZAHRA,RUE ARRAHMA 301HAY RAJAA FIALLAH YAACOUB ELMANSOUR,Rabat,679798605,-  -  -,ec.fatimazahra@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ECOLE YOUSSEF BEN TACHFINE,AV ANNOUR CITE YAACOUB ELMANSOUR,Rabat,679798608,-  -  -,ecoyoussefbtachfine.rabat@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
DAKHLA,boulevard sidi mohammed ben abdellah CYM,Rabat,660191273,-  -  -,ecole_dakhla@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
SOUKINA BINT ELHOUSSAIN,DAOIR GARAA CYM YAACOUB ELMANSOUR,Rabat,679798607,-  -  -,emennana@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
AL IMAM ALI,DouaR alGARAA CYM YAACOUB ELMANSOUR,Rabat,679798609,-  -  -,imam_ali2010@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ENNACHIA ALMOUHAMMADIA,HAY BOUHLAL ARRONDISSEMENT 5 YAACOUB ELMANSOUR,Rabat,679798613,-  -  -,annachiaalmohamadia@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
BOUHLAL,AV BOUHLAL YAACOUB ELMANSOUR,Rabat,660191274,-  -  -,bouhlal_rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ABDELLAH BNO YASSINE,BOUHLAL YAACOUB ELMANSOUR,Rabat,679798622,-  -  -,abdellahbnoyassine.rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
AHMED ELHANSALI,BOUHLAL YAACOUB ELMANSOUR,Rabat,679798610,-  -  -,hansali.ahmed@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MOHAMMED EL KHAMISS,CYM LAKOISSE YAACOUB ELMANSOUR,Rabat,679798584,-  -  -,mdkhamiss@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MOHAMED BEN YOUSSEF,AV LA MARCHE  EL KOUASS CYM,Rabat,660191275,-  -  -,mdecopr@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ALAMAL,J 5 AMAL1 YACACOUB ELMANSOUR,Rabat,679798582,-  -  -,ecoalamal.rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
AMMAR BNOU YASSIR,avenue  chbanat  c  ym,Rabat,660191276,-  -  -,benyassiramar@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MOHAMED RAZI,AV EL IJTIHAD YAACOUB ELMANSOUR,Rabat,679798585,-  -  -,etab_razi.rabat@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ELMAGHREB ELARABI,AV EL IJTIHADE YAACOUB ELMANSOUR,Rabat,660480283,-  -  -,ecole_elmaghrebelarabi77@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
OUED ELMAKHAZIN,AL AKOIS BUITATE YAACOUB ELMANSOUR,Rabat,679798586,-  -  -,ecoulewadmakhazine@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ELAHD ELJADID,AVENUE EL MASSIRA AMAL 3 YAACOUB ELMANSOUR,Rabat,660191277,-  -  -,aaljadid@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
HASSAN ELMARRAKCHI,AV EL MAJDE YAACOUB MANSOUR,Rabat,679798581,-  -  -,ecolhassanmerakchi@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MOUKHTAR JAZOULIT,HAY EL FATH AL MASSIRA YAACOUB ELMANSOUR,Rabat,660191278,-  -  -,etab_jazoulit@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ESSMARA,HAY EL MASSIRA YAACOUB ELMANSOUR,Rabat,660191279,-  -  -,etab_asmara_rt@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
FAKIH MOHAMMED GHAZI,AMAL 4 SUPL YAACOUB ELMANSOUR,Rabat,660191280,,ecole_fquih-med-ghazi.rabat@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MOKHTAR ESSOUSSI,HAY EL MANZAH YAACOUB ELMANSOUR,Rabat,660191281,-  -  -,mokhtaressoussi@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
CHAHID RAHAL BEN AHMED,HAY EL MANZAH YAACOUB ELMANSOUR,Rabat,660191282,-  -  -,chahidrahhalbenahmed@yahoo.fr,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
ELFATH,HAY EL MASSIRA YAACOUB MANSOUR,Rabat,660191283,-  -  -,ecole.elfath@hotmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
LHIZAM ALAKHDER,HAY EL FATH,Rabat,660191284,-  -  -,ecolealhizam@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Yacoub El Mansour (AR)
MECHOUAR ESSAID,TOUARGA RABAT,Rabat,679798587,-  -  -,ep.mechouaressaid@gmail.com,Ecole primaire autonome                                               ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Touarga (M)
OUED AKRACH,SOUK AKRACHE YOUSSOUIFIA,Rabat,679798588,-  -  -,akreuch.ecole@yahoo.fr,Secteur Scolaire Centre Ecole mère                                  ,Etablissement de l'Enseignement Primaire,Rabat - Salé - Zemmour - Zaer,Rabat,Souissi (AR)
MOUAD BEN JABEL,26 RUE BEN TAIB EL ALAMI HAY ELMANARE AGDAL RIAD,Rabat,679798640,-  -  -,etabmouad@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
AL IMAM ALBOUKHARI,AV BINE ALOUIDANE AGDAL RIAD,Rabat,679798649,-  -  -,imamalboukhari@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
AL IRFANE,AV BENABDELLAH RAGRAGUI MADINAT ALIRFAN AGDAL RIAD,Rabat,679798650,-  -  -,alirfane.rabat@hotmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
IBN TOUFAIL,AV MED ELYAZIDI READ AGDAL,Rabat,679798634,-  -  -,ibntofeil@hotmail.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
OMAR BEN KHATTEB,Avenue saphora secteur 24 hay  ryad rabat,Rabat,679798625,-  -  -,collegeobkr@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Agdal Riyad (AR)
YAACOUB ALMANSOUR,38 RUE MEK HASSAN,Rabat,679798641,-  -  -,c_yacoub.almansour@yahoo.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
LALLA AICHA,RUE  MY ALI CHRIF HASSANE,Rabat,679798648,-  -  -,colllallaaicha@yahoo.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
MOUHAMMED BENABDESLAM SAIH,BAB CHALLAH HASSANE,Rabat,679798644,-  -  -,med.saih.rt@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
ATTAWHID,BAB EL MALLAH HASSANE,Rabat,679798635,-  -  -,College.attawhid.rabat@Gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
AL MARHREB ALKABIR,AV HASSAN 2 HASSANE N 414,Rabat,679798637,-  -  -,almaghrebalkabir@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
MOHAMMED VI,RUE MBARK EL BAKAY KEBIBAT,Rabat,679798639,-  -  -,COLLEGE.MOHAMMED.VI@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
IBN KHALDOUNE,AV GRAND MAGREB  HASSANE,Rabat,679798636,-  -  -,college.ibn.khaldoun@hotmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
AL MOUHIT,n1 AV EL CONGO OCEAN HASSANE,Rabat,679798643,-  -  -,mouhit.rabat@gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
LALLA KENZA,AV ABDELKRIM EL KHATABI HASSANE,Rabat,679798642,-  -  -,mostafa-ben@live.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
TADILI,AV LILE DES ARABES N27 HASSANE,Rabat,679798638,-  -  -,tadili1927@Gmail.com,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,Hassan (AR)
TALHA BNOU OUBAID ALLAH,HAY NAHDA 1,Rabat,679798646,-  -  -,talha_nahda@live.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
MOUHAMED AZARKTOUNI,HAY NAHDA 2 YOUSSOUFIA,Rabat,679798647,-  -  -,zerktounirabat@yahoo.fr,Lycée collègial enseignement général                                  ,Etablissement de l'Enseignement Collégial,Rabat - Salé - Zemmour - Zaer,Rabat,El Youssoufia (AR)
